sensor_0,sensor_1,sensor_2
"467
","534
","1785
"
"474
","533
","1793
"
"475
","534
","1793
"
"479
","533
","1793
"
"476
","534
","1790
"
"478
","535
","1792
"
"475
","536
","1791
"
"475
","533
","1793
"
"475
","486
","1792
"
"476
","532
","1793
"
"492
","534
","1792
"
"474
","533
","1793
"
"473
","525
","1793
"
"474
","537
","1792
"
"474
","534
","1792
"
"475
","536
","1793
"
"477
","553
","1793
"
"474
","532
","1793
"
"475
","534
","1792
"
"475
","526
","1792
"
"475
","533
","1792
"
"474
","532
","1789
"
"474
","532
","1793
"
"476
","533
","1790
"
"482
","533
","1794
"
"473
","534
","1794
"
"473
","534
","1792
"
"475
","534
","1790
"
"475
","532
","1793
"
"476
","533
","1797
"
"475
","533
","1790
"
"473
","534
","1792
"
"475
","533
","1793
"
"492
","533
","1793
"
"474
","532
","1793
"
"478
","533
","1797
"
"475
","531
","1792
"
"473
","534
","1792
"
"474
","533
","1793
"
"474
","533
","1792
"
"474
","533
","1794
"
"473
","533
","1792
"
"486
","532
","1792
"
"471
","536
","1793
"
"473
","532
","1795
"
"474
","536
","1792
"
"474
","535
","1792
"
"473
","534
","1793
"
"473
","533
","1784
"
"473
","534
","1795
"
"474
","534
","1795
"
"473
","533
","1793
"
"473
","534
","1790
"
"473
","534
","1797
"
"473
","531
","1795
"
"511
","533
","1795
"
"472
","528
","1795
"
"474
","534
","1802
"
"475
","533
","1796
"
"474
","533
","1794
"
"470
","523
","1797
"
"473
","533
","1797
"
"474
","533
","1796
"
"473
","532
","1796
"
"475
","533
","1798
"
"475
","533
","1797
"
"473
","533
","1706
"
"474
","533
","1796
"
"473
","532
","1797
"
"473
","532
","1797
"
"472
","531
","1797
"
"472
","532
","1798
"
"465
","529
","1798
"
"472
","530
","1798
"
"473
","532
","1797
"
"470
","532
","1798
"
"472
","531
","1799
"
"473
","539
","1799
"
"470
","532
","1799
"
"464
","533
","1800
"
"472
","532
","1800
"
"490
","532
","1804
"
"478
","532
","1801
"
"470
","532
","1800
"
