sensor_0,sensor_1,sensor_2
1376,374,2434
1375,372,2435
1376,452,2434
1373,373,2436
1376,373,2433
1376,369,2436
1377,370,2438
1374,370,2439
1377,372,2441
1377,372,2439
1376,402,2440
1376,373,2441
1376,374,2453
1376,372,2440
1379,373,2441
1376,372,2443
1377,370,2443
1376,371,2444
1376,373,2443
1376,373,2446
1375,375,2445
1376,372,2446
1372,372,2444
1374,372,2445
1398,372,2445
1366,372,2446
1374,372,2455
1375,371,2451
1363,372,2448
1374,372,2448
1374,373,2449
1374,372,2450
1376,373,2450
1374,372,2448
1377,372,2451
1375,377,2452
1374,373,2452
1374,373,2452
1373,372,2432
1374,373,2453
1375,373,2453
1373,362,2454
1373,373,2455
1372,370,2457
1373,372,2454
1375,372,2457
1375,371,2457
1374,372,2465
1373,372,2460
1373,371,2458
1374,371,2461
1354,373,2459
1372,371,2453
1378,372,2461
1372,374,2463
1373,372,2462
1371,372,2468
1372,370,2462
1371,373,2465
1371,371,2465
1376,370,2465
1371,373,2466
1370,371,2467
1371,371,2467
1373,370,2467
1370,372,2468
1369,372,2469
1370,372,2469
1365,372,2474
1371,371,2472
1372,371,2472
1370,373,2465
1374,371,2472
1370,369,2473
1370,438,2475
1369,371,2475
1371,373,2466
1371,371,2477
1369,371,2477
1371,370,2477
1361,373,2478
1393,370,2479
1369,372,2480
1368,372,2481
1367,371,2480
1369,392,2481
1366,369,2482
1368,370,2483
1369,372,2483
1359,372,2484
1366,372,2485
1365,373,2485
1367,381,2486
1370,370,2488
1366,368,2489
1365,371,2488
1364,371,2488
1364,371,2489
1366,372,2491
1364,370,2490
1363,369,2488
1369,377,2491
1364,371,2497
1364,371,2493
1362,373,2493
1364,371,2493
1363,371,2494
1365,371,2496
1362,372,2493
1360,371,2496
1362,371,2497
1362,372,2496
1362,371,2497
1353,371,2498
1361,372,2499
1361,371,2499
1347,370,2505
1360,371,2500
1361,366,2500
1362,371,2495
1366,371,2502
1360,371,2414
1358,369,2493
1362,371,2501
1358,370,2502
1359,371,2505
1365,370,2506
1357,370,2492
1357,403,2505
1356,368,2505
1358,371,2507
1358,370,2508
1355,370,2510
1356,373,2509
1357,370,2510
1360,380,2508
1356,368,2509
1348,370,2510
1356,369,2513
1353,370,2513
1354,369,2513
