sensor_0,sensor_1,sensor_2
"1513
","252
","2372
"
"1517
","253
","2382
"
"1518
","240
","2381
"
"1521
","252
","2378
"
"1521
","252
","2373
"
"1521
","252
","2381
"
"1521
","251
","2378
"
"1523
","253
","2381
"
"1525
","251
","2381
"
"1525
","253
","2379
"
"1525
","252
","2381
"
"1528
","246
","2379
"
"1529
","251
","2370
"
"1530
","251
","2376
"
"1531
","251
","2380
"
"1532
","257
","2379
"
"1531
","251
","2376
"
"1601
","251
","2379
"
"1535
","252
","2378
"
"1535
","252
","2377
"
"1535
","252
","2377
"
"1535
","252
","2377
"
"1535
","248
","2376
"
"1535
","256
","2377
"
"1535
","251
","2377
"
"1535
","252
","2376
"
"1535
","252
","2375
"
"1582
","252
","2376
"
"1536
","251
","2376
"
"1538
","251
","2373
"
"1537
","251
","2374
"
"1540
","252
","2376
"
"1539
","252
","2374
"
"1538
","258
","2372
"
"1483
","252
","2373
"
"1541
","252
","2373
"
"1548
","254
","2372
"
"1544
","251
","2373
"
"1545
","251
","2372
"
"1546
","244
","2372
"
"1545
","251
","2371
"
"1547
","252
","2371
"
"1548
","251
","2362
"
"1572
","253
","2370
"
"1550
","252
","2373
"
"1550
","251
","2372
"
"1550
","252
","2370
"
"1554
","251
","2370
"
"1553
","222
","2370
"
"1555
","252
","2370
"
"1556
","251
","2365
"
"1535
","251
","2368
"
"1557
","251
","2369
"
"1551
","252
","2366
"
"1558
","251
","2368
"
"1561
","251
","2368
"
"1562
","251
","2368
"
"1567
","251
","2367
"
"1563
","250
","2367
"
"1563
","250
","2366
"
"1579
","252
","2367
"
"1565
","251
","2364
"
"1565
","252
","2365
"
"1566
","250
","2364
"
"1572
","251
","2364
"
"1568
","254
","2363
"
"1569
","251
","2363
"
"1569
","252
","2364
"
"1570
","252
","2360
"
"1581
","251
","2362
"
"1572
","245
","2361
"
"1573
","251
","2361
"
"1575
","249
","2362
"
"1575
","252
","2362
"
"1576
","252
","2361
"
"1577
","252
","2360
"
"1577
","251
","2361
"
"1579
","272
","2361
"
"1579
","251
","2359
"
"1580
","252
","2360
"
"1572
","251
","2361
"
"1581
","251
","2358
"
"1582
","252
","2369
"
"1582
","251
","2350
"
"1585
","251
","2357
"
"1584
","251
","2356
"
"1586
","253
","2356
"
"1585
","250
","2355
"
"1588
","252
","2352
"
"1609
","251
","2356
"
"1589
","251
","2356
"
"1589
","250
","2355
"
"1591
","252
","2353
"
"1592
","252
","2354
"
"1593
","248
","2355
"
"1589
","250
","2354
"
"1594
","251
","2353
"
"1593
","249
","2352
"
"1595
","252
","2352
"
"1595
","252
","2353
"
"1596
","252
","2353
"
"1596
","252
","2352
"
"1598
","252
","2352
"
"1600
","252
","2353
"
"1600
","252
","2352
"
"1602
","252
","2350
"
"1602
","252
","2353
"
"1604
","251
","2350
"
"1603
","253
","2355
"
"1600
","252
","2350
"
"1598
","253
","2350
"
"1602
","251
","2350
"
"1604
","252
","2348
"
"1606
","251
","2348
"
"1605
","256
","2349
"
"1607
","251
","2349
"
"1605
","250
","2349
"
"1608
","252
","2348
"
"1609
","251
","2332
"
"1610
","252
","2333
"
"1611
","251
","2349
"
"1611
","252
","2347
"
"1604
","252
","2347
"
"1610
","263
","2345
"
"1612
","253
","2347
"
"1613
","251
","2346
"
"1626
","251
","2345
"
"1612
","252
","2338
"
"1614
","252
","2346
"
"1616
","255
","2345
"
"1614
","252
","2347
"
"1614
","252
","2344
"
"1617
","256
","2344
"
"1617
","252
","2344
"
"1616
","252
","2345
"
"1616
","249
","2344
"
"1618
","251
","2317
"
"1618
","249
","2340
"
"1618
","252
","2342
"
"1616
","249
","2353
"
"1620
","252
","2341
"
"1621
","251
","2340
"
"1620
","251
","2340
"
"1618
","251
","2340
"
"1617
","252
","2338
"
"1622
","251
","2338
"
"1624
","252
","2338
"
"1624
","252
","2337
"
"1625
","252
","2338
"
"1621
","252
","2337
"
"1624
","252
","2337
"
"1624
","235
","2337
"
"1625
","252
","2339
"
"1625
","252
","2337
"
"1626
","250
","2336
"
"1626
","251
","2338
"
"1627
","253
","2334
"
"1626
","252
","2335
"
"1627
","253
","2335
"
"1623
","252
","2336
"
"1628
","253
","2333
"
"1627
","252
","2333
"
"1629
","251
","2333
"
"1628
","252
","2333
"
"1630
","252
","2335
"
"1631
","250
","2333
"
"1633
","252
","2333
"
"1630
","251
","2332
"
"1645
","252
","2331
"
"1633
","252
","2331
"
"1633
","252
","2330
"
"1633
","242
","2330
"
"1635
","251
","2355
"
"1634
","252
","2342
"
"1636
","252
","2328
"
"1635
","253
","2329
"
"1635
","252
","2329
"
"1636
","252
","2327
"
"1636
","252
","2328
"
"1635
","253
","2328
"
"1634
","260
","2328
"
"1636
","252
","2323
"
"1635
","252
","2326
"
"1635
","251
","2326
"
