sensor_0,sensor_1,sensor_2
"2058
","2333
","786
"
"2062
","2332
","783
"
"2061
","2333
","785
"
"2065
","2333
","787
"
"2061
","2332
","785
"
"2061
","2333
","786
"
"2061
","2332
","767
"
"2062
","2333
","785
"
"2063
","2333
","785
"
"2064
","2333
","784
"
"2063
","2333
","785
"
"2062
","2334
","785
"
"2066
","2333
","786
"
"2064
","2334
","785
"
"2064
","2333
","790
"
"2066
","2334
","785
"
"2062
","2334
","785
"
"2064
","2365
","785
"
"2064
","2334
","786
"
"2064
","2334
","784
"
"2065
","2331
","793
"
"2064
","2335
","783
"
"2065
","2334
","784
"
"2055
","2334
","785
"
"2064
","2333
","784
"
"2065
","2334
","785
"
"2066
","2332
","781
"
"2066
","2336
","783
"
"2066
","2337
","784
"
"2067
","2336
","782
"
"2067
","2337
","784
"
"2067
","2337
","784
"
"2067
","2338
","783
"
"2080
","2337
","782
"
"2067
","2337
","784
"
"2069
","2338
","786
"
"2070
","2338
","784
"
"2068
","2352
","781
"
"2069
","2339
","782
"
"2069
","2338
","776
"
"2069
","2337
","782
"
"2070
","2339
","782
"
"2070
","2343
","782
"
"2070
","2341
","781
"
"2072
","2338
","782
"
"2069
","2349
","784
"
"2072
","2341
","781
"
"2072
","2340
","782
"
"2072
","2341
","782
"
"2073
","2341
","782
"
"2070
","2342
","780
"
"2069
","2320
","781
"
"2071
","2340
","781
"
"2074
","2342
","783
"
"2072
","2312
","780
"
"2070
","2344
","786
"
"2070
","2344
","781
"
"2070
","2345
","781
"
"2070
","2344
","782
"
"2068
","2345
","781
"
"2069
","2345
","782
"
"2069
","2345
","780
"
"2068
","2345
","796
"
"2069
","2347
","778
"
"2068
","2347
","780
"
"2069
","2346
","780
"
"2070
","2346
","780
"
"2068
","2348
","779
"
"2068
","2348
","780
"
"2067
","2348
","779
"
"2068
","2350
","780
"
"2068
","2349
","777
"
"2066
","2350
","779
"
"2066
","2349
","779
"
"2069
","2349
","780
"
"2065
","2349
","779
"
"2064
","2349
","778
"
"2218
","2350
","779
"
"2064
","2351
","778
"
"2062
","2352
","780
"
"2048
","2353
","779
"
"2063
","2353
","780
"
"2063
","2353
","779
"
"2062
","2356
","779
"
"2054
","2358
","779
"
"2061
","2355
","779
"
"2061
","2355
","779
"
"2061
","2356
","777
"
"2061
","2355
","778
"
"2065
","2357
","777
"
"2060
","2359
","777
"
"2058
","2357
","779
"
"2059
","2358
","779
"
"2058
","2360
","797
"
"2072
","2360
","778
"
"2057
","2360
","778
"
"2058
","2361
","777
"
"2059
","2362
","778
"
"2061
","2365
","777
"
"2061
","2358
","778
"
"2058
","2363
","776
"
"2058
","2364
","777
"
"2006
","2364
","778
"
"2059
","2364
","784
"
"2056
","2366
","778
"
"2056
","2364
","776
"
"2057
","2368
","777
"
"2058
","2366
","777
"
"2057
","2369
","776
"
"2060
","2369
","776
"
"2058
","2369
","776
"
"2057
","2371
","777
"
"2059
","2371
","772
"
"2059
","2373
","773
"
"2058
","2373
","778
"
"2060
","2373
","776
"
"2059
","2374
","777
"
"2052
","2375
","774
"
"2060
","2374
","772
"
"2065
","2374
","776
"
"2059
","2379
","776
"
"2059
","2378
","776
"
"2061
","2379
","776
"
"2061
","2379
","776
"
"2061
","2379
","774
"
"2060
","2381
","777
"
"2061
","2381
","774
"
"2064
","2382
","774
"
"2065
","2382
","774
"
"2063
","2398
","774
"
"2064
","2385
","774
"
"2063
","2382
","774
"
"2067
","2384
","774
"
"2063
","2386
","773
"
"2066
","2385
","773
"
"2065
","2385
","773
"
"2067
","2386
","773
"
"2067
","2387
","776
"
"2067
","2393
","772
"
"2069
","2387
","773
"
"2069
","2388
","771
"
"2076
","2388
","806
"
"2070
","2389
","772
"
"2073
","2393
","771
"
"2073
","2392
","773
"
"2073
","2393
","772
"
"2072
","2392
","792
"
"2076
","2393
","774
"
"2074
","2394
","773
"
"2073
","2396
","774
"
"2080
","2395
","771
"
"2077
","2396
","773
"
"2078
","2396
","773
"
"2174
","2397
","773
"
"2080
","2531
","771
"
"2080
","2396
","773
"
"2081
","2398
","773
"
"2081
","2401
","772
"
"2084
","2393
","773
"
"2083
","2401
","770
"
"2082
","2402
","775
"
"2083
","2402
","815
"
"2086
","2401
","773
"
"2086
","2405
","772
"
"2085
","2404
","773
"
"2100
","2404
","773
"
"2092
","2405
","776
"
"2089
","2408
","774
"
"2093
","2409
","774
"
"2084
","2409
","777
"
"2095
","2409
","772
"
"2091
","2410
","774
"
"2092
","2410
","772
"
"2093
","2411
","773
"
"2093
","2412
","773
"
"2094
","2413
","774
"
"2097
","2413
","773
"
"2099
","2416
","755
"
"2097
","2415
","771
"
"2097
","2416
","774
"
"2100
","2419
","910
"
"2100
","2417
","774
"
"2102
","2418
","778
"
"2101
","2419
","773
"
"2104
","2420
","774
"
"2106
","2421
","774
"
"2106
","2424
","774
"
"2102
","2424
","776
"
