sensor_0,sensor_1,sensor_2
1032,2595,610
1033,2594,616
1034,2584,641
1030,2592,613
1029,2595,616
1034,2592,617
1033,2568,614
1030,2598,617
1030,2590,617
1032,2592,614
1032,2593,617
1033,2592,616
1032,2590,617
1032,2591,617
1032,2589,616
1033,2590,616
1033,2590,617
1025,2589,617
1032,2589,616
1033,2588,617
1026,2587,618
1034,2588,609
1030,2592,617
1036,2588,617
1030,2587,617
1032,2586,616
1030,2586,617
1035,2548,617
1032,2585,618
1036,2579,617
1032,2585,618
1032,2585,617
1032,2582,617
1026,2571,619
1033,2584,618
1032,2583,618
1032,2578,619
1032,2581,617
1033,2570,618
1030,2580,620
1033,2580,617
1030,2580,618
1033,2581,617
1033,2580,618
1032,2581,617
1032,2578,611
1026,2577,620
1032,2580,620
1030,2580,618
1033,2581,618
1032,2578,617
1029,2578,617
1033,2577,618
1038,2577,616
1033,2577,617
1032,2576,618
1031,2576,616
1033,2576,619
1032,2576,618
1030,2574,620
1032,2569,598
1030,2573,619
964,2577,619
1032,2574,619
1033,2574,532
1032,2585,618
1030,2574,618
1032,2570,619
1033,2571,616
1032,2571,619
1030,2571,616
1030,2572,618
1032,2570,619
1033,2569,618
1030,2568,618
1030,2570,619
1030,2570,618
1032,2568,618
1032,2569,618
1031,2567,619
1031,2566,618
1030,2565,620
1032,2569,632
1027,2564,618
1030,2564,618
1032,2564,612
1029,2564,616
1030,2564,621
1028,2563,617
1033,2563,610
1032,2565,618
1028,2560,618
1032,2560,598
1030,2565,618
1030,2562,595
1030,2560,620
1030,2561,617
1032,2560,618
1029,2566,617
1025,2561,616
1036,2560,616
1032,2559,613
1026,2576,618
1029,2559,617
1032,2559,616
1030,2559,616
1029,2559,606
1033,2559,618
1032,2559,609
1030,2559,619
1034,2559,617
1029,2559,618
1030,2559,617
1050,2559,616
1032,2559,618
1026,2559,617
1030,2559,617
1028,2559,617
1030,2559,616
1030,2559,617
1027,2559,616
1028,2559,616
1029,2559,617
1027,2559,622
993,2559,616
1029,2559,617
1030,2559,617
1010,2559,616
1027,2559,616
1030,2559,616
1027,2559,617
1028,2559,613
1028,2559,614
1028,2559,616
1027,2559,612
1027,2559,614
1027,2559,616
1030,2559,616
1026,2546,615
1027,2559,615
1027,2559,616
1027,2559,613
1028,2559,616
1024,2559,616
1004,2559,614
1027,2559,614
1024,2522,614
1025,2559,614
1024,2559,613
1025,2559,613
1025,2558,601
1028,2559,613
1024,2558,627
1026,2559,614
1025,2559,614
1024,2559,614
1025,2558,613
1024,2559,614
1022,2559,613
1024,2559,613
1025,2559,616
1021,2559,613
1022,2559,611
1011,2557,614
1023,2559,608
1022,2559,613
1022,2558,614
1021,2557,613
1023,2557,614
1021,2572,612
1024,2554,612
1022,2558,612
1024,2557,612
1022,2557,613
1092,2557,612
1021,2561,613
1020,2558,612
1022,2558,612
1019,2557,613
1020,2558,612
1020,2558,612
1013,2558,611
1019,2558,612
1020,2553,613
1019,2557,622
1019,2558,609
1020,2558,610
1018,2558,611
1018,2558,610
1021,2559,611
1020,2558,610
1020,2558,612
1019,2558,611
1018,2558,611
1017,2559,609
1017,2559,609
1018,2556,597
1017,2558,610
1018,2557,609
1018,2559,610
1014,2570,611
1016,2552,611
1020,2558,610
1017,2559,613
1017,2559,612
1011,2559,609
1016,2559,610
1017,2559,675
1014,2559,610
1014,2559,609
1017,2559,610
1014,2559,609
1017,2558,610
1014,2559,611
1014,2559,609
1016,2559,609
1014,2559,610
1017,2559,609
962,2559,608
1013,2559,610
1014,2559,610
1011,2573,609
1014,2559,609
1014,2559,604
1014,2559,604
1013,2559,608
1005,2559,610
1022,2559,608
1010,2559,607
1012,2559,608
1012,2559,606
1013,2558,610
1013,2559,609
1010,2559,596
1013,2559,606
1012,2559,608
1137,2559,604
1139,2559,609
1139,2559,608
1140,2559,608
1139,2558,606
1140,2559,606
1142,2559,605
1140,2559,606
1142,2559,607
1142,2559,606
1142,2559,608
1142,2559,606
1144,2559,608
1144,2559,606
1145,2559,606
1146,2558,606
1147,2559,604
1148,2559,606
1148,2526,710
1147,1897,719
1149,1896,720
1154,1843,731
1150,1897,720
1150,1895,715
1150,1896,720
1152,1894,719
1152,1902,718
1152,1896,707
1153,1893,718
1155,1893,719
1155,1899,717
1156,1907,718
1157,1892,717
1157,1890,712
1156,1891,718
1160,1881,714
1205,1891,718
1158,1892,714
1160,1891,718
1162,1890,719
1158,1891,718
1159,1907,717
1160,1897,721
1163,1891,718
1163,1890,721
1162,1889,717
1165,1891,718
1163,1889,718
1163,1889,716
1167,1889,717
1164,1875,716
1165,1888,717
1166,1891,718
1166,1888,714
1167,1887,717
1166,1889,718
1171,1888,718
1169,1888,718
1172,1837,724
1170,1887,717
1166,1885,718
1170,1886,719
1172,1886,716
1172,1885,708
1169,1886,718
1172,1884,719
1188,1885,718
1172,1869,718
1172,1885,718
1173,1885,718
1172,1885,718
1173,1884,719
1174,1884,717
1174,1883,718
1176,1883,717
1173,1884,718
1174,1882,720
1173,1882,848
1172,1882,718
1176,1876,718
1176,1882,718
1173,1882,726
1177,1880,735
1177,1883,717
1177,1882,722
1160,1876,719
1178,1880,718
1178,1880,718
1177,1880,718
1180,1878,719
1178,1876,718
1179,1878,718
1179,1880,718
1180,1880,718
1174,1878,718
1179,1878,718
1180,1874,719
1178,1829,718
1182,1877,718
1180,1875,718
1180,1875,718
1181,1875,718
1181,1875,717
1218,1875,717
1181,1881,718
1180,1889,717
1182,1875,717
1181,1875,721
1179,1875,718
1182,1875,726
1182,1873,716
1184,1873,715
1182,1873,717
1185,1873,718
1183,1873,716
1184,1874,717
1184,1872,717
1185,1872,716
1184,1872,718
1185,1871,716
1185,1872,715
1189,1872,716
1186,1872,713
1186,1789,715
1187,1869,716
1188,1868,715
1188,1870,715
1189,1869,714
1189,1869,715
1189,1869,715
1188,1869,717
1187,1866,716
1189,1868,720
1189,1866,714
1192,1868,714
1190,1867,721
1193,1866,714
1190,1868,714
1192,1868,715
1192,1868,714
1192,1867,713
1190,1868,714
1193,1867,714
1193,1869,713
1194,1861,714
1193,1888,712
1192,1867,713
1193,1864,713
1193,1866,714
1192,1866,714
1188,1866,713
1256,1865,713
1189,1867,714
1193,1865,712
1194,1865,712
1192,1864,720
1193,1866,712
1194,1865,714
1193,1862,713
1194,1859,699
1209,1864,712
1194,1863,712
1194,1864,712
1194,1860,713
1195,1864,709
1194,1862,710
1194,1862,724
1194,1860,710
1195,1859,708
1194,1859,709
1194,1860,710
1193,1859,709
1195,1859,710
1192,1858,710
1195,1858,709
1195,1858,709
1194,1857,709
1195,1857,709
1193,1857,712
1193,1856,708
1195,1857,709
1194,1856,708
1195,1873,708
1194,1854,709
1195,1857,707
1194,1853,709
1194,1852,708
1194,1854,708
1211,1854,708
1195,1853,721
1194,1854,707
1328,1853,706
1193,1852,708
1195,1852,709
1193,1852,717
1195,1851,708
1194,1852,707
1195,1851,707
1195,1851,705
1196,1850,707
1196,1846,708
1195,1849,692
1196,1849,706
1196,1850,738
1195,1854,708
1195,1848,705
1195,1851,708
1195,1844,689
1196,1848,705
1197,1849,706
1197,1848,706
1195,1848,719
1196,1847,707
1194,1848,704
1196,1849,706
1194,1842,705
1197,1845,705
1196,1845,706
1195,1845,705
1193,1846,705
1195,1844,707
1202,1846,704
1195,1846,698
1196,1848,705
1195,1845,710
1195,1846,705
1194,1845,701
1194,1846,703
1195,1845,691
1193,1844,702
1195,1846,705
1195,1846,704
1198,1848,715
1194,1845,705
1193,1845,704
1182,1845,698
1193,1844,703
1189,1844,705
1192,1844,704
1193,1844,704
1189,1845,704
1193,1844,664
1186,1845,703
1192,1845,702
1188,1845,703
1192,1845,702
1190,1844,702
1190,1845,703
1190,1844,704
1191,1849,702
1190,1846,701
1189,1851,702
1181,1845,700
1192,1845,701
1190,1844,702
1477,1845,701
1474,1843,701
1485,1884,705
1478,1845,702
1477,1844,702
1480,1844,700
1480,1845,701
1478,1846,701
1480,1844,701
1481,1845,701
1482,1845,700
1449,1865,700
1483,1834,700
1480,1846,699
1483,1846,697
1484,1848,693
1483,1847,700
1483,1856,701
1484,1697,697
1484,3842,731
1490,3841,714
1486,3841,733
1486,3844,734
1486,3842,734
1487,3832,733
1487,3842,732
1485,3840,729
1486,3841,733
1487,3832,732
1486,3845,732
1487,3838,734
1489,3837,733
1485,3837,734
1489,3837,732
1488,3836,733
1488,3835,737
1488,3834,732
1486,3834,734
1487,3834,733
1486,3833,735
1489,3832,733
1488,3833,734
1488,3852,733
1488,3832,729
1486,3829,733
1488,3826,733
1486,3829,734
1487,3829,733
1487,3826,735
1487,3828,735
1490,3830,733
1486,3824,735
1486,3825,734
1485,3771,733
1485,3823,748
1463,3823,734
1485,3829,734
1485,3818,736
1485,3820,750
1483,3821,733
1483,3821,732
1485,3820,736
1484,3821,723
1481,3819,734
1484,3819,706
1481,3818,731
1482,3816,737
1482,3817,735
1484,3817,736
1482,3817,735
1481,3815,736
1481,3816,735
1480,3813,739
1480,3814,736
1478,3817,738
1478,3812,736
1478,3812,736
1478,3812,736
1480,3817,735
1477,3811,737
1478,3810,738
1477,3809,736
1475,3809,736
1478,3809,737
1477,3809,733
1478,3810,736
1477,3808,736
1478,3806,737
1476,3806,737
1476,3806,736
1535,3803,738
1477,3804,737
1477,3802,737
1477,3800,737
1483,3802,737
1477,3801,737
1476,3799,736
1477,3800,737
1477,3800,737
1478,3798,737
1476,3797,739
1477,3797,739
1478,3797,706
1457,3797,738
1477,3796,742
1478,3795,740
1477,3794,731
1474,3793,740
1478,3794,738
1479,3793,739
1480,3792,725
1478,3791,739
1481,3790,740
1480,3790,739
1478,3785,745
1480,3790,740
1478,3786,739
1467,3789,739
1484,3802,739
1481,3788,741
1483,3787,740
1482,3787,742
1481,3786,740
1483,3784,741
1482,3785,741
1482,3785,741
1484,3785,741
1482,3792,745
1483,3784,742
1483,3782,741
1483,3780,743
1483,3781,740
1485,3781,742
1484,3779,738
1487,3593,741
1461,3779,743
1486,3779,742
1485,3780,742
1485,3778,744
1487,3777,744
1488,3776,744
1491,3777,745
1487,3774,744
1486,3776,746
1482,3775,746
1489,3773,746
1488,3773,745
1493,3773,746
1489,3772,752
1484,3772,746
1492,3772,745
1492,3771,747
1491,3772,747
1492,3771,747
1497,3770,748
1492,3769,746
1494,3769,747
1493,3768,748
1493,3766,749
1494,3765,749
1494,3750,750
