sensor_0,sensor_1,sensor_2
"1313
","3846
","575
"
"1313
","3844
","574
"
"1304
","3846
","585
"
"1312
","3846
","573
"
"1313
","3849
","585
"
"1313
","3845
","574
"
"1301
","3845
","574
"
"1315
","3845
","574
"
"1314
","3962
","574
"
"1314
","3842
","574
"
"1315
","3846
","574
"
"1084
","3846
","573
"
"1317
","3873
","578
"
"1316
","3845
","574
"
"1316
","3846
","573
"
"1315
","3846
","574
"
"1300
","3846
","574
"
"1316
","3845
","573
"
"1314
","3845
","578
"
"1329
","3845
","580
"
"1323
","3845
","574
"
"1316
","3845
","573
"
"1306
","3845
","573
"
"1316
","3845
","574
"
"1316
","3843
","573
"
"1315
","3846
","573
"
"1318
","3846
","574
"
"1317
","3848
","573
"
"1318
","3828
","574
"
"1318
","3845
","576
"
"1318
","3845
","595
"
"1317
","3845
","573
"
"1317
","3846
","576
"
"1317
","3845
","572
"
"1317
","3845
","573
"
"1318
","3845
","572
"
"1318
","3845
","573
"
"1317
","3845
","574
"
"1321
","3845
","574
"
"1317
","3845
","576
"
"1318
","3846
","574
"
"1321
","3845
","572
"
"1320
","3845
","594
"
"1318
","3846
","574
"
"1320
","3845
","573
"
"1308
","3846
","572
"
"1318
","3842
","565
"
"1321
","3845
","573
"
"1321
","3845
","572
"
"1318
","3848
","573
"
"1320
","3845
","578
"
"1320
","3846
","573
"
"1321
","3846
","573
"
"1283
","3845
","574
"
"1342
","3848
","572
"
"1321
","3846
","574
"
"1320
","3846
","578
"
"1322
","3852
","573
"
"1315
","3849
","573
"
"1320
","3846
","573
"
"1321
","3859
","574
"
"1320
","3876
","574
"
"1321
","3845
","573
"
"1323
","3846
","573
"
"1321
","3859
","573
"
"1322
","3844
","573
"
"1324
","3848
","572
"
"1505
","3846
","573
"
"1321
","3847
","571
"
"1322
","3845
","573
"
"1324
","3845
","575
"
"1320
","3845
","573
"
"1329
","3845
","573
"
"1322
","3845
","573
"
"1321
","3846
","573
"
"1323
","3839
","573
"
"1320
","3840
","573
"
"1322
","3845
","574
"
"1322
","3845
","578
"
"1322
","3849
","572
"
"1323
","3848
","573
"
"1322
","3843
","573
"
"1325
","3846
","573
"
"1324
","3849
","573
"
"1322
","3844
","573
"
"1323
","3846
","573
"
"1321
","3844
","573
"
"1325
","3846
","573
"
"1321
","3846
","573
"
"1323
","3845
","572
"
"1321
","3843
","571
"
"1318
","3846
","572
"
"1323
","3845
","573
"
"1320
","3845
","572
"
"1322
","3846
","573
"
"1322
","3845
","573
"
"1321
","3846
","576
"
"1323
","3848
","574
"
"1321
","3843
","574
"
"1320
","3845
","573
"
"1321
","3838
","581
"
"1324
","3845
","731
"
"1322
","3846
","575
"
"1330
","3845
","573
"
"1322
","3868
","578
"
"1323
","3847
","574
"
"1322
","3844
","572
"
"1321
","3845
","572
"
"1322
","3851
","573
"
"1322
","3845
","572
"
"1323
","3844
","572
"
"1323
","3845
","571
"
"1323
","3846
","568
"
"1323
","3824
","572
"
"1322
","3845
","579
"
"1321
","3845
","573
"
"1323
","3845
","581
"
"1322
","3845
","573
"
"1323
","3845
","571
"
"1322
","3845
","574
"
"1330
","3845
","574
"
"1322
","3846
","570
"
"1322
","3846
","571
"
"1322
","3841
","738
"
"1322
","3848
","569
"
"1321
","3848
","570
"
"1321
","3845
","570
"
"1318
","3844
","570
"
"1323
","3845
","571
"
"1314
","3846
","570
"
