sensor_0,sensor_1,sensor_2
3848,478,1921
3848,478,1920
3848,477,1920
3846,477,1919
3848,478,1918
3848,481,1918
3849,479,1917
3848,478,1917
3845,473,1917
3848,478,1917
3848,478,1910
3848,478,1916
3849,479,1916
3848,478,1915
3836,478,1915
3848,477,1915
3846,478,1914
3848,478,1915
3846,478,1914
3849,479,1915
3845,478,1913
3847,478,1914
3850,478,1913
3854,477,1913
3848,477,1911
3850,477,1912
3848,480,1910
3848,477,1911
3851,477,1909
3844,477,1909
3848,476,1910
3847,474,1896
3847,478,1909
3848,476,1909
3849,478,1908
3848,479,1908
3849,477,1908
3848,477,1907
3848,477,1907
3838,476,1906
3848,479,1907
3849,475,1907
3846,475,1909
3848,477,1900
3848,474,1907
3848,477,1907
3848,475,1905
3848,476,1904
3848,464,1906
3848,477,1907
3851,480,1906
3849,476,1904
3846,475,1907
3849,476,1906
3849,474,1904
3850,476,1906
3847,475,1906
3848,475,1905
3850,475,1892
3846,475,1906
3849,475,1904
3847,475,1905
3865,477,1907
3849,477,1906
3849,475,1906
3848,475,1907
3848,475,1905
3849,475,1909
3849,473,1905
3845,473,1905
3848,475,1906
3848,476,1914
3848,475,1907
3849,474,1909
3848,475,1905
3848,471,1909
3848,483,1907
3850,473,1907
3845,475,1907
3848,474,1908
3849,474,1914
3850,474,1907
3849,473,1908
3850,475,1906
3849,474,1909
3851,474,1908
3849,473,1916
3839,473,1908
3845,476,1909
3844,474,1910
3846,473,1910
3844,473,1909
3845,474,1909
3845,473,1909
3846,473,1910
3845,473,1905
3846,473,1909
3845,472,1908
3844,475,1910
3807,473,1940
3840,474,1911
3845,472,1909
3844,472,1909
3845,473,1909
3845,473,1908
3846,473,1906
3849,473,1909
3844,472,1910
3845,473,1910
3844,505,1912
3846,472,1910
3844,493,1910
3845,468,1910
3844,473,1909
3850,472,1908
3845,472,1907
3844,472,1909
3844,472,1909
3843,470,1909
3842,470,1909
3848,469,1909
3845,470,1909
3844,470,1909
3845,470,1908
3844,470,1912
3843,476,1908
3846,473,1908
3848,471,1908
3849,471,1908
3844,470,1908
3845,472,1908
3844,474,1907
3844,470,1908
3846,472,1906
3844,470,1902
3845,471,1906
3844,469,1906
3844,471,1906
3845,471,1905
3844,470,1908
3845,468,1905
3844,469,1905
3842,472,1905
3844,470,1909
3845,470,1903
3844,469,1903
3840,469,1904
3844,471,1905
3844,470,1904
3844,470,1901
3849,467,1902
3845,470,1901
3844,469,1904
3844,469,1899
3844,472,1903
3812,469,1899
3865,470,1901
3844,469,1901
3850,469,1900
3844,465,1901
3845,470,1898
3844,471,1896
3844,470,1900
3845,469,1898
3844,468,1899
3844,468,1899
3844,469,1897
3843,469,1899
3844,468,1894
3845,470,1894
3842,468,1897
3844,469,1894
3843,468,1896
3844,473,1893
3845,469,1897
3847,468,1893
3845,468,1896
3846,451,1893
3844,469,1893
3848,468,1897
3844,467,1869
3844,468,1892
3844,468,1887
3845,467,1891
3845,467,1891
3843,466,1893
3844,467,1892
3844,468,1891
3843,467,1891
3844,457,1877
3842,470,1889
3844,467,1890
3843,468,1890
3844,467,1889
