sensor_0,sensor_1,sensor_2
3848,481,2104
3853,483,2103
3843,480,2101
3850,480,2102
3845,497,2100
3848,475,2100
3848,476,2101
3848,478,2102
3848,481,2105
3846,482,2100
3845,482,2100
3847,483,2100
3848,483,2101
3848,482,2100
3847,501,2099
3848,482,2100
3843,482,2099
3847,482,2106
3850,483,2099
3848,483,2100
3849,482,2098
3848,482,2097
3849,483,2097
3850,480,2096
3848,481,2097
3835,484,2090
3848,483,2098
3848,485,2111
3848,483,2096
3848,484,2097
3844,483,2094
3848,484,2112
3848,483,2096
3848,484,2096
3848,486,2095
3848,485,2097
3851,485,2096
3852,490,2097
3850,483,2096
3845,490,2094
3849,485,2093
3848,485,2093
3849,463,2093
3869,484,2093
3850,485,2092
3846,487,2092
3849,484,2091
3857,485,2092
3846,485,2090
3846,477,2091
3846,486,2091
3844,482,2091
3845,486,2091
3844,484,2092
3846,486,2091
3844,486,2090
3844,487,2091
3844,485,2091
3851,487,2090
3844,486,2089
3844,486,2091
3844,485,2089
3842,485,2089
3844,485,2088
3845,486,2065
3843,486,2089
3851,484,2088
3844,490,2080
3824,489,2089
3844,486,2082
3845,486,2089
3846,486,2087
3844,486,2088
3843,486,2089
3844,489,2086
3844,486,2092
3705,487,2087
3844,486,2089
3828,489,2088
3844,488,2088
3844,492,2090
3845,486,2086
3843,487,2091
3844,489,2089
3843,489,2089
3844,488,2089
3863,488,2089
3846,487,2088
3846,489,2088
3842,502,2088
3842,489,2084
3844,489,2087
3844,488,2088
3843,489,2087
3844,488,2088
3850,489,2089
3842,489,2089
3843,489,2088
3844,490,2089
3844,490,2088
3841,486,2089
3845,491,2086
3844,490,2088
3845,488,2088
3844,490,2089
3848,490,2089
3843,490,2089
3843,491,2082
3844,491,2089
3844,491,2089
3844,492,2088
3843,492,2089
3844,492,2089
3844,491,2088
3840,491,2089
3844,491,2083
3844,492,2088
3844,506,2086
3844,491,2090
3846,490,2089
3843,493,2088
3844,493,2086
3844,494,2088
3847,493,2088
3843,491,2086
3844,493,2086
3842,492,2086
3845,494,2086
3846,492,2089
3844,492,2093
3843,493,2086
3844,492,2088
3843,494,2088
3845,492,2088
3843,493,2086
3848,494,2086
3844,494,2086
3843,493,2088
3843,493,2089
3840,496,2086
3843,494,2060
3844,496,2086
3844,494,2075
3845,493,2092
3844,490,2086
3843,496,2086
3846,497,2085
3845,493,2086
3845,491,2085
3844,494,2104
3843,485,2085
3845,497,2088
3845,492,2086
3850,491,2088
3840,499,2083
3840,497,2086
3845,496,2086
3846,493,2086
3842,495,2088
3845,496,2085
3846,497,2091
3845,494,2085
3849,494,2085
3929,494,2086
3850,496,2085
3849,511,2089
3849,496,2086
3848,495,2085
3849,497,2085
3846,496,2086
3848,495,2086
3849,496,2088
3849,494,2085
3846,494,2086
3848,497,2086
3846,497,2085
3850,496,2086
3849,495,2087
3848,495,2086
3847,496,2086
3848,497,2088
3844,495,2086
3847,496,2086
3850,496,2085
3848,496,2088
3848,495,2086
3847,494,2104
3845,494,2086
3845,496,2086
3848,496,2089
3870,496,2075
3847,494,2086
3846,492,2086
3848,494,2086
3847,493,2087
3849,494,2086
3845,492,2084
3849,494,2086
3848,483,2087
3847,507,2086
3848,493,2085
3847,493,2085
3845,511,2085
3848,493,2085
3845,496,2085
3849,492,2085
3848,493,2084
3846,494,2088
3848,494,2084
3848,493,2085
3848,502,2084
3848,492,2084
3846,494,2086
3848,492,2082
3848,492,2085
3848,492,2072
3846,492,2083
3848,539,2084
3845,497,2084
3849,493,2086
3848,492,2086
3848,491,2083
3846,491,2084
3854,493,2085
3848,491,2085
3849,494,2085
3849,492,2086
3852,493,2084
3848,493,2090
3848,482,2086
3849,492,2084
3847,490,2083
3848,498,2084
3848,493,2085
3848,491,2084
3846,491,2085
3847,489,2084
3846,473,2084
3849,491,2085
3848,492,2085
3848,492,2083
3846,492,2084
3849,491,2084
3847,492,2085
3852,492,2079
3848,490,2084
3844,491,2085
3848,492,2084
3846,492,2097
3848,493,2086
3847,491,2084
3845,490,2085
3846,492,2084
3846,488,2088
3848,464,1838
3848,462,1811
3848,461,1810
3846,461,1811
3848,461,1811
3846,462,1811
3848,464,1810
3846,461,1812
3848,462,1812
3849,459,1812
3852,456,1811
3848,460,1813
3849,492,1811
3850,460,1812
3848,461,1811
3848,461,1817
3849,460,1812
3847,458,1811
3847,459,1812
3846,460,1839
3848,461,1813
3848,459,1813
3847,460,1812
3848,461,1812
3847,460,1828
3848,461,1812
3849,460,1814
3848,460,1813
3819,460,1814
3848,460,1812
3848,461,1817
3845,460,1813
3846,454,1813
3848,460,1816
3848,472,1813
3848,460,1814
3848,461,1812
3848,460,1813
3848,461,1814
3846,460,1814
3849,461,1815
3847,460,1815
3849,459,1805
3848,460,1814
3842,461,1813
3849,460,1814
3851,464,1814
3928,459,1814
3846,461,1814
3848,460,1814
3848,459,1815
3848,460,1813
3844,403,1816
3846,459,1819
3846,459,1814
3847,459,1816
3846,458,1814
3847,460,1812
3848,454,1814
3846,454,1814
3848,459,1812
3848,460,1810
3848,459,1815
3848,459,1817
3846,458,1814
3849,459,1811
3848,460,1813
3847,459,1814
3847,460,1813
3845,459,1813
3846,461,1833
3848,459,1817
3848,458,1814
3845,459,1816
3848,453,1826
3848,464,1817
3850,459,1816
3848,458,1814
3796,460,1814
3848,459,1817
3848,455,1817
3846,458,1814
3845,459,1814
3846,460,1817
3848,458,1817
3848,457,1813
3821,460,1814
3849,470,1814
3847,457,1817
3848,458,1816
3846,458,1816
3846,459,1816
3846,461,1817
3847,457,1817
3846,458,1816
3846,461,1816
3848,460,1856
3847,456,1817
3846,458,1816
3846,462,1786
3848,459,1816
3848,456,1817
3848,457,1817
3847,458,1817
3846,464,1817
3846,459,1817
3848,459,1817
3845,458,1819
3847,421,1816
3848,460,1820
3850,458,1817
3849,458,1817
3848,459,1818
3846,461,1818
3848,459,1819
