sensor_0,sensor_1,sensor_2
"2089
","126
","221
"
"2088
","126
","219
"
"2073
","129
","219
"
"2090
","130
","221
"
"2091
","128
","220
"
"2092
","128
","219
"
"2094
","129
","219
"
"2093
","128
","225
"
"2100
","128
","221
"
"2098
","130
","219
"
"2100
","128
","222
"
"2090
","129
","220
"
"2101
","125
","221
"
"2101
","128
","219
"
"2102
","123
","216
"
"2105
","128
","220
"
"2108
","126
","220
"
"2108
","141
","219
"
"2109
","131
","221
"
"2108
","128
","220
"
"2110
","126
","219
"
"2114
","128
","219
"
"2114
","128
","220
"
"2114
","133
","221
"
"2122
","128
","218
"
"2117
","75
","214
"
"2117
","128
","219
"
"2120
","126
","219
"
"2120
","125
","218
"
"2122
","128
","219
"
"2123
","126
","219
"
"2125
","128
","219
"
"2127
","128
","188
"
"2127
","128
","219
"
"2129
","128
","219
"
"2131
","128
","220
"
"2133
","128
","219
"
"2134
","128
","219
"
"2134
","132
","219
"
"2136
","129
","220
"
"2138
","128
","219
"
"2139
","128
","219
"
"2140
","128
","219
"
"2141
","129
","219
"
"2144
","100
","218
"
"2146
","128
","219
"
"2147
","127
","218
"
"2149
","128
","219
"
"2153
","128
","218
"
"2152
","128
","219
"
"2154
","128
","220
"
"2154
","128
","218
"
"2154
","125
","219
"
"2157
","128
","218
"
"2159
","131
","222
"
"2161
","128
","220
"
"2161
","129
","210
"
"2156
","126
","235
"
"2166
","128
","219
"
"2166
","128
","218
"
"2166
","126
","220
"
"2170
","128
","217
"
"2172
","128
","218
"
"2173
","126
","219
"
"2176
","128
","141
"
"2178
","128
","219
"
"2178
","128
","218
"
"2181
","128
","220
"
"2181
","127
","220
"
"2184
","126
","219
"
"2184
","128
","220
"
"2177
","129
","219
"
"2193
","128
","220
"
"2190
","125
","219
"
"2192
","128
","220
"
"2192
","128
","218
"
"2195
","125
","217
"
"2196
","126
","220
"
"2199
","128
","212
"
"2201
","128
","219
"
"2201
","128
","218
"
"2203
","100
","219
"
"2205
","127
","233
"
"2208
","128
","218
"
"2208
","128
","219
"
"2211
","126
","219
"
"2217
","128
","218
"
"2213
","125
","218
"
"2216
","126
","219
"
"2221
","125
","219
"
"2217
","121
","222
"
"2222
","124
","217
"
"2222
","128
","219
"
"2223
","130
","219
"
"2226
","128
","220
"
"2226
","128
","218
"
"2224
","128
","219
"
"2230
","127
","220
"
"2233
","126
","218
"
"2237
","126
","218
"
"2236
","127
","219
"
"2240
","128
","219
"
"2241
","128
","218
"
"2242
","126
","220
"
"2243
","129
","219
"
"2245
","131
","218
"
"2250
","125
","219
"
"2250
","128
","219
"
"2251
","128
","219
"
"2249
","126
","219
"
"2251
","128
","220
"
"2256
","126
","219
"
"2256
","126
","212
"
"2259
","128
","218
"
"2260
","128
","219
"
"2261
","128
","219
"
"2265
","128
","219
"
"2267
","126
","219
"
"2273
","126
","220
"
"2271
","120
","220
"
"2277
","128
","218
"
"2273
","125
","220
"
"2274
","126
","220
"
"2277
","143
","218
"
"2285
","126
","219
"
"2280
","125
","220
"
"2282
","128
","220
"
"2282
","128
","219
"
"2325
","132
","219
"
"2288
","128
","220
"
"2288
","128
","219
"
"2290
","126
","219
"
"2291
","128
","220
"
"2294
","128
","220
"
"2294
","128
","220
"
"2295
","128
","219
"
"2298
","128
","219
"
"2304
","130
","220
"
"2301
","126
","221
"
"2302
","128
","219
"
"2303
","124
","216
"
"2304
","128
","220
"
"2306
","128
","223
"
"2308
","124
","220
"
"2309
","128
","221
"
"2313
","128
","221
"
"2313
","128
","220
"
"2314
","126
","220
"
"2316
","128
","221
"
"2318
","128
","232
"
"2319
","129
","220
"
"2321
","125
","237
"
"2322
","126
","221
"
