sensor_0,sensor_1,sensor_2
122,102,125
123,100,123
122,101,122
122,101,125
121,100,124
123,102,122
121,102,124
121,101,122
122,99,123
121,101,123
123,101,125
125,100,124
123,91,123
123,101,123
123,101,124
121,101,124
138,104,122
122,100,123
122,101,123
118,101,156
122,100,123
120,101,123
124,102,122
122,100,123
109,101,122
123,98,123
113,103,122
122,102,123
118,102,123
125,99,123
123,101,120
122,100,123
123,100,124
124,101,113
124,100,123
122,101,123
123,108,124
122,101,123
123,102,122
128,101,125
122,101,124
123,101,126
123,101,124
124,101,122
124,104,122
122,101,124
123,100,120
121,100,124
122,99,124
123,100,124
123,101,124
122,100,121
123,102,122
122,100,123
122,101,125
121,102,122
124,102,117
123,104,123
122,101,124
123,101,124
125,103,123
122,101,123
120,102,123
122,100,122
122,98,125
125,98,123
122,101,124
122,100,123
123,100,124
122,101,124
123,101,171
122,101,124
125,104,122
123,100,122
123,104,124
124,98,124
118,101,123
117,101,117
122,100,123
118,101,123
124,99,125
123,100,123
123,101,126
121,101,124
123,101,123
139,100,125
121,100,123
123,102,123
123,102,123
122,102,123
123,101,125
122,89,124
123,100,124
122,99,123
122,104,124
120,99,123
123,100,124
123,100,124
123,98,123
122,102,124
110,98,124
121,100,123
123,99,122
123,101,126
121,100,124
122,102,125
106,100,124
123,101,124
117,101,123
126,101,116
120,101,124
122,100,126
122,99,124
123,98,124
124,100,125
120,98,124
122,100,123
120,104,123
123,101,123
122,100,125
122,100,124
122,102,124
120,100,124
124,101,124
121,99,124
120,101,125
124,101,123
121,101,123
122,101,124
122,100,125
122,99,123
120,102,123
124,100,134
127,100,126
122,101,125
122,100,123
122,100,124
120,102,124
122,98,123
121,101,124
121,106,121
120,97,123
122,101,123
123,100,123
117,100,123
123,102,123
116,100,158
121,101,124
130,100,123
121,101,124
123,100,122
121,104,124
117,104,121
122,100,123
122,99,123
124,100,121
123,98,124
123,101,123
122,102,123
122,101,124
126,101,122
123,100,122
123,102,125
123,101,124
124,101,124
122,98,123
122,100,123
123,100,124
123,101,124
123,101,124
123,100,123
122,101,124
123,101,123
121,102,123
122,100,124
121,102,124
121,100,124
122,100,124
123,100,124
122,100,124
123,100,123
121,100,124
123,100,122
120,101,123
123,100,123
121,101,124
121,97,121
122,101,123
123,115,124
122,101,123
123,101,124
124,102,125
120,101,125
123,101,123
120,101,124
125,101,124
120,98,122
125,108,123
123,102,122
121,101,124
117,101,123
121,101,122
121,99,123
123,102,109
122,101,124
122,100,123
121,101,123
122,100,118
123,100,122
122,104,123
123,101,123
123,101,123
121,101,121
124,101,123
123,100,122
122,101,125
123,100,122
124,101,122
126,101,123
123,99,128
122,101,123
124,100,124
121,101,124
122,101,124
128,101,124
123,100,124
123,99,124
123,75,123
124,98,146
124,101,126
124,99,124
121,105,125
118,105,124
124,101,125
122,100,125
123,101,123
122,97,123
120,100,124
120,107,125
123,101,126
121,101,124
124,101,127
129,101,124
122,100,125
121,100,124
122,104,123
122,101,125
123,101,121
122,101,125
122,100,128
121,101,124
123,102,124
84,101,124
121,100,125
123,104,123
122,100,120
122,101,124
122,101,123
121,99,124
122,99,124
125,101,124
122,100,124
123,100,124
121,102,124
121,100,123
122,101,125
125,99,124
121,104,131
129,101,124
121,101,124
123,100,123
