sensor_0,sensor_1,sensor_2
112,138,128
121,139,128
122,138,128
122,138,128
122,138,126
121,138,128
120,138,125
122,138,126
120,138,128
120,138,128
120,138,124
121,138,129
121,138,128
121,136,128
122,141,128
117,136,126
122,137,126
121,137,126
120,138,126
118,139,125
123,138,128
121,138,126
121,138,128
120,124,129
121,138,126
120,137,125
118,138,129
121,137,132
122,139,129
120,137,125
121,136,126
122,139,126
122,138,128
122,138,126
120,138,125
121,138,162
120,137,126
121,138,126
121,139,129
121,138,128
117,138,128
120,137,126
122,136,128
121,138,125
120,138,125
120,137,126
125,138,126
120,139,126
85,139,126
121,137,124
121,138,128
121,138,126
121,139,127
121,138,129
121,137,126
121,138,126
121,137,121
124,138,126
121,138,125
119,138,126
120,137,128
122,133,126
120,134,127
116,137,128
122,137,124
122,137,129
122,136,128
117,139,126
123,136,128
121,138,127
120,137,129
120,137,126
117,137,126
120,139,127
120,137,142
118,133,128
121,138,129
120,137,125
121,135,126
117,140,126
121,139,125
122,138,126
117,137,126
121,138,128
122,139,126
119,137,126
120,134,126
141,139,124
120,137,126
122,140,128
121,138,110
121,138,129
122,138,129
121,138,129
121,137,125
118,138,126
118,138,129
120,138,128
120,136,128
122,133,126
120,136,126
121,140,126
121,137,122
122,138,132
121,137,128
120,138,126
122,142,126
122,136,125
121,137,126
120,136,128
118,136,126
121,141,124
120,136,126
120,137,129
121,137,126
121,136,128
122,139,125
121,137,126
120,136,128
120,132,128
121,138,126
120,136,128
120,140,128
121,138,128
82,138,128
120,137,125
121,137,128
121,138,131
120,138,126
121,137,128
117,136,126
121,137,132
118,136,126
122,137,128
121,137,126
113,137,128
122,137,126
121,134,129
132,135,125
121,135,128
121,137,126
121,139,125
118,138,126
121,136,126
118,138,129
121,134,125
121,132,128
121,140,125
120,137,122
122,137,128
121,137,126
121,137,125
122,137,128
118,135,130
121,139,129
123,136,125
122,152,126
118,137,129
121,136,128
121,137,128
121,132,126
121,135,126
121,137,126
121,134,126
121,138,126
120,135,126
121,138,126
120,136,126
121,137,131
121,137,129
120,137,127
120,138,126
120,137,126
120,137,125
121,138,128
121,136,126
124,136,128
120,137,129
114,137,126
121,138,128
120,136,126
112,137,126
117,137,125
121,137,126
121,137,126
120,136,127
118,137,129
121,137,128
122,138,128
120,137,126
118,136,126
121,138,128
121,138,126
118,134,128
121,133,128
121,135,129
121,136,128
123,134,128
120,137,128
121,137,125
120,136,126
122,137,128
118,140,130
122,138,125
121,138,128
120,136,126
118,137,128
121,138,128
122,136,128
120,139,126
121,137,126
121,136,128
120,136,129
123,137,128
122,137,126
122,137,126
120,136,150
121,137,128
115,137,128
121,137,128
121,137,125
121,136,126
123,137,128
121,136,128
121,137,125
124,137,125
109,137,128
122,136,129
122,137,128
122,135,126
120,134,129
121,136,129
121,136,129
120,137,126
123,137,128
121,137,127
120,136,128
122,136,128
119,135,124
121,133,126
125,138,126
120,136,126
120,137,126
125,136,126
121,136,128
121,133,128
118,132,126
80,132,125
121,136,128
120,137,129
121,138,129
120,136,128
121,136,128
121,139,95
122,142,126
118,132,125
121,134,124
120,132,131
122,133,129
120,138,124
121,134,126
120,134,125
120,135,126
120,135,125
121,135,125
121,136,124
121,138,123
122,135,124
121,134,125
121,134,128
121,136,124
119,135,123
121,133,124
120,134,125
120,136,125
120,137,126
133,134,124
120,135,125
123,128,124
118,133,126
121,136,125
122,137,125
117,134,125
121,136,123
118,135,125
128,135,124
120,134,126
121,133,123
120,135,124
121,137,122
120,132,125
124,152,125
114,134,125
122,135,124
120,136,124
122,116,125
120,134,128
121,136,124
123,136,128
118,134,126
115,134,125
120,135,124
120,136,125
121,135,125
117,134,125
120,134,125
123,134,128
121,132,124
120,135,124
121,134,124
121,134,125
120,134,125
121,134,130
122,133,128
121,134,125
120,107,125
120,134,125
120,135,125
120,137,123
124,134,125
122,134,124
120,133,126
120,136,124
131,136,124
121,134,126
120,133,125
122,134,126
119,134,133
121,133,125
120,134,105
120,134,126
121,134,125
122,134,124
121,144,124
121,136,125
120,134,124
121,133,125
120,152,126
115,134,134
120,134,125
124,133,124
121,133,124
122,135,125
118,134,128
120,134,125
120,133,125
121,134,125
121,133,124
121,134,124
120,134,126
122,133,124
120,133,124
121,137,124
121,136,124
120,144,125
121,133,126
115,135,128
121,134,124
120,132,124
120,133,128
113,132,125
117,133,122
121,133,124
120,134,128
119,134,125
122,133,125
121,134,146
126,134,126
120,134,125
122,133,125
121,133,125
126,137,125
120,137,124
121,133,129
120,133,124
121,136,129
118,134,126
120,135,129
118,134,125
121,133,126
121,133,124
120,142,124
120,132,124
120,134,124
120,135,125
122,150,124
121,134,125
121,133,124
120,132,125
117,134,125
120,136,120
118,162,124
120,133,124
118,130,124
120,134,124
121,134,125
121,132,128
120,134,125
130,134,125
120,135,123
120,132,125
120,133,123
121,133,125
120,134,133
120,134,124
120,132,126
120,133,125
120,133,125
120,136,124
121,133,128
120,134,124
120,139,125
121,134,123
121,133,125
121,132,125
120,133,126
118,133,125
121,134,123
121,134,125
122,134,125
120,139,124
122,137,125
122,134,125
122,133,125
120,133,124
121,132,125
120,129,125
122,133,124
120,133,125
120,133,125
122,134,125
121,133,126
123,134,121
121,133,125
121,133,134
96,134,125
117,134,123
118,131,126
121,134,125
121,132,126
122,133,125
120,133,125
121,133,124
122,133,125
119,133,126
121,130,124
121,136,125
122,134,125
121,144,125
121,132,125
121,133,125
120,144,124
122,134,125
120,134,125
121,134,125
119,132,124
121,133,124
120,125,126
119,134,124
121,133,125
122,133,124
121,134,122
120,133,125
121,133,125
121,134,122
121,134,124
120,134,125
120,134,122
121,133,123
121,133,130
121,134,124
120,132,124
122,133,128
120,133,126
120,134,126
122,134,125
120,134,125
121,134,125
121,134,128
126,135,124
121,132,130
120,133,123
122,134,125
122,133,125
121,134,124
121,133,125
122,137,125
120,133,125
121,136,123
121,134,124
120,132,126
121,146,124
120,136,125
121,134,123
123,136,125
122,133,125
122,132,125
121,134,124
118,133,122
122,137,124
117,133,125
114,133,126
121,134,125
123,133,126
122,133,126
110,136,130
120,137,125
121,137,122
122,134,125
120,154,121
121,152,118
123,149,121
121,150,121
121,151,121
118,151,120
121,153,120
113,152,121
122,152,120
120,156,120
121,152,120
123,152,120
121,150,120
120,152,120
120,151,121
121,153,120
120,152,121
121,150,122
121,152,116
121,151,121
120,151,120
120,152,118
121,152,117
121,151,120
122,152,120
121,152,120
119,152,117
122,152,120
121,152,118
121,150,122
121,150,117
122,151,122
121,152,120
120,149,118
122,151,121
120,150,120
122,149,118
122,153,120
104,136,120
121,150,120
121,151,120
123,149,121
109,150,120
122,146,120
120,153,120
121,151,118
120,150,120
122,149,120
121,149,110
122,150,120
117,150,118
122,152,118
122,150,122
123,150,121
121,151,120
121,154,121
119,151,120
122,150,121
121,148,121
122,150,120
121,150,121
122,150,120
122,152,120
121,152,121
116,151,121
123,152,138
122,150,119
121,149,120
121,150,118
122,151,120
122,149,121
117,150,120
121,149,123
121,152,120
121,148,118
120,150,120
122,149,121
121,152,120
122,153,122
120,152,120
123,150,118
120,150,121
121,150,121
121,150,120
123,151,116
120,150,120
122,150,120
121,150,120
121,152,121
120,153,120
126,152,121
122,148,121
122,149,121
123,150,132
124,150,120
121,152,122
120,149,120
121,150,120
120,150,121
121,149,121
117,153,118
123,150,120
122,150,129
121,154,120
122,150,121
121,149,121
121,150,120
130,149,120
120,152,119
126,149,119
122,149,119
121,150,121
118,150,120
124,149,120
122,152,121
121,150,121
121,148,119
122,151,120
121,125,121
117,150,120
120,150,120
122,150,121
122,150,120
122,149,118
122,149,121
121,150,120
121,150,121
120,154,120
121,148,121
121,150,121
120,151,116
115,150,115
121,150,121
120,149,121
118,150,121
120,149,116
122,149,120
121,148,120
122,152,122
121,152,117
128,150,118
121,150,120
110,149,118
122,147,120
121,150,121
120,149,123
123,149,121
120,150,120
123,150,118
118,149,120
122,149,120
118,148,121
122,150,120
121,150,120
123,148,123
120,149,121
121,110,121
123,149,121
122,148,122
120,152,121
121,149,122
121,149,122
121,150,120
122,152,121
120,149,107
121,148,122
121,149,121
122,150,118
122,151,122
121,148,121
121,149,120
123,149,122
122,149,120
