sensor_0,sensor_1,sensor_2
"120
","143
","107
"
"122
","144
","106
"
"120
","144
","106
"
"123
","144
","106
"
"117
","143
","106
"
"112
","144
","107
"
"121
","144
","107
"
"122
","144
","107
"
"120
","144
","107
"
"120
","145
","107
"
"121
","144
","108
"
"121
","146
","108
"
"120
","144
","106
"
"121
","145
","106
"
"119
","145
","107
"
"120
","144
","107
"
"120
","142
","106
"
"121
","153
","106
"
"121
","144
","106
"
"121
","144
","105
"
"120
","143
","107
"
"123
","144
","107
"
"122
","139
","121
"
"121
","144
","107
"
"120
","141
","107
"
"121
","145
","107
"
"119
","143
","107
"
"121
","144
","107
"
"122
","144
","106
"
"120
","142
","107
"
"119
","143
","105
"
"120
","143
","99
"
"116
","145
","112
"
"117
","145
","107
"
"120
","144
","106
"
"121
","143
","109
"
"121
","156
","107
"
"122
","143
","107
"
"121
","144
","107
"
"117
","144
","107
"
"121
","145
","107
"
"121
","142
","107
"
"118
","145
","108
"
"120
","144
","106
"
"120
","142
","105
"
"125
","143
","107
"
"120
","145
","107
"
"121
","142
","105
"
"118
","144
","107
"
"123
","163
","109
"
"123
","142
","107
"
"121
","142
","107
"
"120
","144
","107
"
"122
","144
","106
"
"121
","144
","108
"
"120
","144
","107
"
"122
","144
","106
"
"120
","144
","107
"
"120
","143
","107
"
"121
","148
","117
"
"121
","146
","107
"
"121
","144
","107
"
"121
","141
","106
"
"120
","144
","107
"
"121
","132
","107
"
"121
","142
","107
"
"120
","143
","106
"
"120
","144
","107
"
"121
","145
","106
"
"117
","145
","107
"
"120
","153
","107
"
"122
","143
","109
"
"121
","143
","106
"
"122
","145
","106
"
"120
","144
","107
"
"119
","144
","107
"
"120
","144
","107
"
"121
","143
","107
"
"121
","145
","106
"
"121
","143
","107
"
"121
","143
","107
"
"121
","144
","107
"
"121
","144
","107
"
"120
","142
","106
"
"121
","144
","107
"
"121
","142
","106
"
"120
","142
","106
"
"121
","141
","106
"
"120
","142
","105
"
"121
","144
","108
"
"124
","144
","107
"
"120
","144
","107
"
"121
","143
","105
"
"121
","144
","108
"
"120
","144
","107
"
"120
","141
","107
"
"120
","143
","107
"
"124
","157
","105
"
"121
","142
","106
"
"121
","144
","107
"
"121
","140
","108
"
"121
","179
","106
"
"121
","145
","106
"
"118
","144
","106
"
"122
","144
","107
"
"121
","143
","106
"
"122
","139
","107
"
"120
","143
","108
"
"121
","147
","108
"
"123
","143
","106
"
"119
","142
","106
"
"121
","138
","107
"
"121
","147
","107
"
"121
","142
","107
"
"125
","145
","106
"
"120
","144
","106
"
"121
","144
","106
"
"121
","143
","106
"
"128
","139
","105
"
"121
","147
","106
"
"121
","144
","106
"
"123
","144
","107
"
"117
","143
","107
"
"123
","143
","106
"
"119
","142
","107
"
"121
","141
","108
"
"118
","143
","108
"
"123
","144
","109
"
"120
","142
","107
"
"121
","143
","107
"
"121
","141
","106
"
"122
","143
","107
"
"121
","142
","107
"
"118
","141
","107
"
"118
","142
","107
"
"122
","145
","107
"
"120
","144
","107
"
"121
","143
","108
"
"122
","143
","107
"
"120
","141
","107
"
"120
","142
","108
"
"120
","142
","106
"
"121
","142
","107
"
"120
","144
","107
"
"117
","144
","107
"
"122
","142
","107
"
"121
","141
","110
"
"120
","143
","107
"
"121
","143
","107
"
"121
","146
","107
"
"120
","144
","108
"
"121
","144
","106
"
"121
","145
","107
"
"120
","144
","107
"
"121
","141
","106
"
"105
","144
","109
"
"124
","146
","106
"
"121
","143
","107
"
"121
","144
","106
"
"121
","143
","107
"
"116
","144
","106
"
"120
","141
","108
"
"122
","143
","107
"
"123
","142
","107
"
"121
","142
","106
"
"120
","144
","108
"
"121
","140
","105
"
"121
","142
","107
"
"121
","142
","107
"
"117
","144
","106
"
"117
","144
","107
"
"121
","146
","107
"
"120
","142
","105
"
"120
","144
","108
"
"121
","142
","106
"
"121
","142
","108
"
"120
","138
","106
"
"122
","141
","107
"
"116
","142
","106
"
"121
","145
","106
"
"122
","142
","107
"
"120
","140
","106
"
"122
","144
","107
"
"120
","143
","182
"
"122
","142
","106
"
"120
","141
","107
"
"122
","141
","107
"
"122
","143
","108
"
"121
","142
","106
"
"118
","143
","107
"
"122
","143
","106
"
"118
","141
","108
"
"124
","144
","112
"
"120
","142
","105
"
"120
","145
","105
"
"124
","141
","107
"
"121
","142
","106
"
"120
","142
","106
"
"122
","144
","106
"
"121
","142
","106
"
"120
","139
","116
"
"121
","144
","108
"
"120
","143
","107
"
"121
","142
","108
"
"121
","140
","106
"
"120
","139
","107
"
"121
","144
","108
"
"122
","142
","105
"
"121
","147
","101
"
"121
","142
","106
"
"121
","142
","106
"
"120
","139
","107
"
"118
","142
","100
"
"118
","144
","107
"
"121
","143
","107
"
"122
","128
","107
"
"122
","144
","107
"
"121
","141
","106
"
"121
","143
","106
"
"120
","143
","107
"
"121
","142
","109
"
"121
","142
","106
"
"121
","140
","105
"
"118
","144
","107
"
"121
","145
","106
"
"121
","142
","106
"
"117
","142
","107
"
"124
","144
","107
"
"121
","143
","108
"
"121
","144
","106
"
"121
","142
","106
"
"120
","141
","107
"
"120
","140
","106
"
"122
","139
","105
"
"121
","142
","107
"
"118
","142
","107
"
"123
","142
","106
"
"120
","142
","107
"
"120
","141
","104
"
"121
","143
","107
"
"109
","142
","107
"
"120
","141
","107
"
"120
","141
","106
"
"121
","140
","107
"
"116
","143
","106
"
"122
","141
","107
"
"123
","142
","108
"
"121
","142
","106
"
"123
","140
","108
"
"120
","142
","107
"
"121
","141
","106
"
"121
","141
","106
"
"120
","139
","108
"
"121
","141
","107
"
"120
","166
","111
"
"122
","138
","111
"
"107
","137
","112
"
"122
","137
","112
"
"122
","137
","112
"
"123
","137
","112
"
"120
","137
","111
"
"121
","138
","113
"
"121
","137
","110
"
"120
","137
","112
"
"121
","135
","111
"
"122
","137
","114
"
"121
","136
","112
"
"121
","139
","112
"
"121
","137
","112
"
"121
","140
","111
"
"121
","137
","112
"
"121
","138
","113
"
"122
","138
","112
"
"121
","138
","112
"
"121
","136
","112
"
"95
","138
","113
"
"121
","139
","112
"
"121
","138
","112
"
"121
","138
","112
"
"121
","137
","113
"
"126
","138
","112
"
"122
","138
","110
"
"123
","138
","111
"
"121
","137
","111
"
"118
","136
","120
"
"120
","138
","113
"
"123
","138
","113
"
"123
","148
","112
"
"124
","137
","111
"
"121
","137
","113
"
"122
","137
","111
"
"122
","138
","112
"
"122
","138
","123
"
"120
","137
","112
"
"121
","137
","118
"
"120
","138
","113
"
"121
","137
","116
"
"121
","138
","112
"
"122
","138
","110
"
"121
","140
","113
"
"121
","138
","110
"
"121
","133
","113
"
"121
","135
","113
"
"121
","138
","109
"
"123
","137
","113
"
"122
","137
","113
"
"121
","137
","111
"
"121
","137
","112
"
"121
","137
","109
"
"115
","138
","111
"
"121
","138
","112
"
"122
","135
","108
"
"118
","137
","112
"
"120
","137
","111
"
"121
","137
","112
"
"122
","137
","110
"
"121
","129
","112
"
"120
","137
","111
"
"122
","138
","112
"
"124
","138
","112
"
"121
","139
","110
"
"121
","138
","112
"
"121
","136
","109
"
"120
","139
","110
"
"126
","137
","112
"
"121
","136
","112
"
"120
","139
","112
"
"120
","137
","110
"
"121
","137
","111
"
"121
","137
","111
"
"123
","139
","111
"
"120
","138
","109
"
"121
","137
","112
"
"121
","137
","112
"
"122
","137
","112
"
"121
","138
","111
"
"121
","137
","110
"
"121
","137
","107
"
"121
","137
","110
"
"122
","136
","112
"
"122
","138
","110
"
"116
","138
","112
"
"121
","137
","109
"
"121
","137
","112
"
"121
","140
","116
"
"121
","155
","111
"
"121
","137
","112
"
"122
","137
","112
"
"116
","136
","111
"
"121
","139
","113
"
"122
","137
","111
"
"122
","139
","110
"
"123
","138
","113
"
"121
","141
","112
"
"122
","137
","115
"
"123
","137
","112
"
"121
","137
","111
"
"120
","137
","111
"
"121
","138
","109
"
"118
","136
","108
"
"121
","137
","112
"
"121
","138
","113
"
"121
","138
","113
"
"122
","138
","108
"
"122
","137
","112
"
"121
","137
","113
"
"122
","133
","112
"
"122
","137
","111
"
"121
","138
","111
"
"122
","137
","110
"
"120
","136
","111
"
"120
","137
","110
"
"125
","136
","111
"
"120
","138
","112
"
"121
","138
","114
"
"120
","137
","112
"
"121
","138
","113
"
"121
","132
","112
"
"121
","135
","110
"
"125
","137
","112
"
"122
","136
","113
"
"123
","137
","120
"
"122
","138
","108
"
"122
","137
","112
"
"121
","138
","109
"
"121
","136
","111
"
"121
","137
","109
"
"120
","134
","113
"
"120
","137
","112
"
"122
","137
","114
"
"122
","136
","113
"
"118
","138
","112
"
"121
","135
","112
"
"121
","137
","111
"
"121
","138
","112
"
"120
","136
","112
"
"121
","137
","110
"
"120
","136
","112
"
"123
","138
","110
"
"121
","136
","115
"
"121
","138
","111
"
"125
","138
","111
"
"121
","137
","114
"
"116
","140
","110
"
"121
","137
","112
"
"121
","137
","110
"
"124
","136
","110
"
"124
","136
","112
"
"121
","134
","112
"
"121
","135
","93
"
"122
","133
","112
"
"114
","137
","113
"
"121
","136
","112
"
"121
","137
","109
"
"122
","136
","112
"
"122
","137
","111
"
"120
","136
","111
"
"121
","137
","112
"
"121
","134
","112
"
"119
","137
","112
"
"121
","136
","112
"
"120
","137
","112
"
"122
","136
","112
"
"128
","135
","112
"
"121
","136
","110
"
"122
","138
","109
"
"125
","138
","112
"
"121
","137
","112
"
"122
","141
","113
"
"121
","137
","113
"
"122
","137
","112
"
"121
","137
","113
"
"121
","137
","111
"
"120
","138
","111
"
"121
","137
","109
"
"121
","140
","110
"
"120
","136
","112
"
"121
","137
","117
"
"122
","138
","111
"
"122
","137
","112
"
"121
","134
","113
"
"122
","137
","112
"
"120
","137
","109
"
"121
","136
","114
"
"121
","136
","110
"
"121
","138
","112
"
"123
","136
","111
"
"122
","120
","114
"
"120
","138
","112
"
"122
","137
","110
"
"121
","139
","108
"
"124
","121
","114
"
"121
","136
","112
"
"122
","136
","102
"
"121
","139
","111
"
"120
","140
","115
"
"122
","136
","112
"
"121
","133
","112
"
"121
","138
","112
"
"121
","138
","112
"
"122
","135
","112
"
"121
","136
","112
"
"122
","136
","112
"
"121
","136
","113
"
"121
","139
","111
"
"121
","136
","109
"
"122
","145
","113
"
"122
","136
","112
"
"121
","137
","111
"
"124
","136
","112
"
"121
","134
","114
"
"122
","136
","110
"
"120
","124
","112
"
"121
","130
","113
"
"121
","137
","112
"
"121
","136
","112
"
"119
","136
","113
"
"122
","136
","110
"
"120
","136
","112
"
"122
","137
","111
"
"117
","136
","111
"
"122
","134
","111
"
"113
","132
","113
"
"122
","136
","109
"
"122
","138
","110
"
"122
","136
","113
"
"122
","136
","112
"
"123
","136
","109
"
"122
","136
","112
"
"120
","136
","113
"
"122
","136
","112
"
"142
","136
","128
"
"121
","136
","111
"
"120
","136
","112
"
"122
","136
","112
"
"121
","136
","111
"
"120
","136
","113
"
"121
","137
","109
"
"119
","136
","112
"
"121
","136
","112
"
"121
","137
","110
"
"121
","137
","110
"
"122
","138
","113
"
"121
","136
","112
"
"121
","134
","112
"
"121
","138
","109
"
"121
","131
","112
"
"121
","136
","112
"
"121
","138
","113
"
"125
","131
","146
"
"121
","146
","153
"
"120
","144
","153
"
"120
","145
","153
"
"120
","144
","152
"
"120
","144
","151
"
"120
","142
","152
"
"121
","144
","152
"
"122
","143
","171
"
"121
","144
","152
"
"120
","142
","154
"
"121
","142
","152
"
"121
","139
","153
"
"121
","139
","153
"
"122
","144
","153
"
"125
","144
","152
"
"117
","140
","152
"
"120
","144
","155
"
"121
","142
","148
"
"123
","143
","152
"
"121
","144
","152
"
"121
","143
","150
"
"121
","142
","152
"
"121
","144
","153
"
"121
","147
","152
"
"121
","144
","156
"
"121
","134
","152
"
"123
","148
","153
"
"120
","142
","152
"
"121
","140
","152
"
"124
","142
","152
"
"121
","142
","152
"
"121
","142
","150
"
"125
","144
","152
"
"120
","142
","153
"
"120
","145
","154
"
"120
","144
","153
"
"120
","144
","153
"
"121
","144
","152
"
"121
","144
","141
"
"121
","142
","148
"
"121
","140
","152
"
"121
","143
","152
"
"124
","142
","146
"
"120
","143
","152
"
"118
","138
","152
"
"122
","142
","152
"
"121
","142
","155
"
"121
","144
","152
"
"114
","145
","152
"
"120
","142
","149
"
"121
","145
","153
"
"118
","144
","150
"
"120
","144
","153
"
"122
","145
","148
"
"120
","145
","152
"
"121
","142
","154
"
"121
","143
","148
"
"121
","145
","152
"
"120
","142
","150
"
"121
","144
","149
"
"122
","142
","152
"
"122
","143
","156
"
"121
","142
","153
"
"122
","142
","153
"
"121
","144
","153
"
"122
","144
","152
"
"122
","142
","152
"
"121
","141
","153
"
"120
","143
","150
"
"123
","144
","150
"
"120
","142
","152
"
"118
","143
","153
"
"122
","144
","153
"
"120
","145
","144
"
"121
","143
","157
"
"120
","140
","153
"
"120
","142
","154
"
"120
","148
","152
"
"120
","142
","152
"
"121
","143
","152
"
"121
","141
","154
"
"120
","142
","153
"
"119
","142
","156
"
"122
","140
","153
"
"121
","142
","153
"
"121
","144
","152
"
"120
","142
","149
"
"121
","142
","152
"
"120
","139
","152
"
"122
","143
","153
"
"120
","140
","152
"
"122
","144
","152
"
"121
","146
","153
"
"121
","141
","154
"
"116
","142
","152
"
"120
","142
","152
"
"122
","144
","149
"
"121
","142
","153
"
"120
","142
","152
"
"123
","142
","153
"
"120
","141
","152
"
"122
","142
","151
"
"118
","143
","152
"
"121
","142
","152
"
"122
","142
","153
"
"121
","142
","152
"
"120
","142
","156
"
"122
","140
","151
"
"106
","141
","152
"
"123
","142
","158
"
"121
","144
","149
"
"120
","144
","153
"
"122
","142
","153
"
"121
","144
","152
"
"121
","143
","152
"
"121
","146
","154
"
"121
","147
","153
"
"123
","141
","152
"
"122
","143
","150
"
"122
","142
","152
"
"119
","162
","153
"
"120
","142
","152
"
"121
","144
","152
"
"120
","145
","153
"
"121
","142
","153
"
"119
","143
","152
"
"121
","142
","156
"
"120
","142
","154
"
"121
","142
","152
"
"122
","145
","152
"
"124
","142
","151
"
"126
","143
","153
"
"121
","142
","153
"
"120
","142
","153
"
"120
","141
","154
"
"121
","146
","153
"
"120
","142
","153
"
"120
","142
","151
"
"122
","142
","152
"
"122
","142
","153
"
"121
","145
","153
"
"121
","144
","152
"
"120
","144
","153
"
"121
","141
","152
"
"123
","142
","152
"
"121
","141
","152
"
"121
","142
","153
"
"119
","142
","154
"
"121
","142
","141
"
"121
","143
","153
"
"120
","143
","151
"
"120
","144
","153
"
"120
","141
","153
"
"122
","142
","150
"
"119
","142
","153
"
"118
","144
","152
"
"123
","141
","153
"
"122
","142
","155
"
"120
","141
","153
"
"122
","140
","152
"
"121
","145
","150
"
"121
","142
","152
"
"116
","139
","152
"
"121
","141
","155
"
"121
","142
","152
"
"121
","142
","154
"
"118
","142
","152
"
"121
","145
","153
"
"121
","142
","153
"
"121
","142
","152
"
"119
","142
","152
"
"120
","142
","153
"
"121
","142
","152
"
"120
","139
","154
"
"120
","142
","154
"
"122
","142
","149
"
"121
","142
","153
"
"123
","147
","152
"
"121
","144
","153
"
"121
","141
","152
"
"124
","141
","150
"
"119
","142
","152
"
"120
","146
","152
"
"121
","141
","151
"
"118
","142
","152
"
"120
","142
","140
"
"123
","141
","150
"
"120
","142
","152
"
"122
","141
","150
"
"121
","141
","153
"
"118
","140
","153
"
"120
","142
","153
"
"122
","140
","155
"
"120
","145
","154
"
"121
","142
","155
"
"122
","141
","153
"
"121
","143
","153
"
"120
","141
","150
"
"120
","142
","152
"
"121
","142
","152
"
"120
","143
","152
"
"120
","142
","152
"
"100
","142
","152
"
"121
","142
","152
"
"121
","140
","153
"
"122
","141
","135
"
"121
","142
","153
"
"121
","144
","152
"
"121
","142
","154
"
"126
","141
","146
"
"116
","142
","154
"
"121
","142
","154
"
"120
","142
","154
"
"120
","142
","152
"
"121
","142
","152
"
"121
","145
","153
"
"120
","143
","153
"
"116
","146
","152
"
"120
","142
","152
"
"122
","142
","153
"
"120
","147
","153
"
"121
","143
","152
"
"120
","142
","152
"
"121
","144
","152
"
"118
","146
","150
"
"121
","143
","152
"
"121
","142
","152
"
"121
","142
","153
"
"120
","144
","155
"
"121
","141
","152
"
"122
","143
","153
"
"125
","141
","152
"
"120
","142
","152
"
"122
","142
","152
"
"119
","143
","153
"
"121
","143
","149
"
"122
","144
","153
"
"123
","142
","152
"
"120
","142
","153
"
"122
","142
","153
"
"121
","142
","152
"
"121
","142
","151
"
"121
","143
","153
"
"120
","142
","146
"
"121
","142
","150
"
"121
","142
","154
"
"120
","144
","153
"
"123
","142
","137
"
"121
","142
","152
"
"122
","145
","152
"
"121
","143
","152
"
"121
","145
","152
"
"120
","141
","153
"
"118
","148
","153
"
"122
","132
","147
"
"120
","147
","141
"
"122
","148
","142
"
"119
","148
","141
"
"123
","151
","144
"
"121
","149
","142
"
"113
","149
","142
"
"120
","148
","141
"
"121
","149
","142
"
"121
","148
","141
"
"123
","148
","144
"
"121
","150
","143
"
"122
","149
","140
"
"122
","153
","142
"
"122
","149
","162
"
"121
","148
","142
"
"122
","148
","141
"
"122
","147
","140
"
"122
","146
","130
"
"121
","147
","140
"
"122
","149
","141
"
"123
","148
","141
"
"121
","148
","140
"
"121
","148
","144
"
"121
","150
","139
"
"121
","149
","142
"
"123
","149
","141
"
"122
","148
","140
"
"122
","150
","142
"
"121
","148
","143
"
"121
","148
","141
"
"122
","148
","141
"
"123
","147
","142
"
"120
","149
","141
"
"125
","148
","141
"
"122
","148
","141
"
"121
","154
","145
"
"123
","159
","145
"
"121
","149
","142
"
"122
","154
","146
"
"121
","148
","140
"
"121
","148
","142
"
"121
","147
","141
"
"121
","148
","140
"
"123
","148
","142
"
"121
","148
","141
"
"121
","144
","144
"
"121
","148
","141
"
"120
","148
","142
"
"121
","148
","142
"
"122
","149
","140
"
"121
","147
","143
"
"122
","148
","141
"
"120
","148
","141
"
"121
","148
","141
"
"122
","147
","142
"
"121
","147
","141
"
"120
","147
","142
"
"118
","149
","142
"
"123
","149
","141
"
"121
","148
","142
"
"121
","147
","142
"
"122
","148
","133
"
"121
","146
","142
"
"136
","149
","142
"
"121
","148
","139
"
"120
","148
","142
"
"137
","148
","140
"
"123
","149
","144
"
"123
","148
","143
"
"123
","148
","139
"
"123
","149
","141
"
"122
","149
","141
"
"118
","148
","141
"
"122
","149
","142
"
"123
","148
","142
"
"122
","143
","142
"
"122
","149
","138
"
"122
","149
","141
"
"122
","148
","142
"
"123
","149
","142
"
"123
","149
","137
"
"120
","145
","141
"
"122
","148
","142
"
"123
","149
","142
"
"121
","149
","140
"
"118
","149
","141
"
"125
","147
","138
"
"120
","149
","141
"
"122
","149
","142
"
"124
","149
","143
"
"123
","149
","141
"
"122
","148
","142
"
"121
","149
","141
"
"122
","148
","141
"
"120
","148
","142
"
"121
","154
","149
"
"121
","147
","141
"
"122
","149
","142
"
"122
","148
","141
"
"124
","148
","142
"
"94
","148
","141
"
"121
","148
","142
"
"122
","148
","140
"
"124
","148
","141
"
"120
","149
","133
"
"121
","149
","146
"
"122
","153
","141
"
"121
","150
","149
"
"121
","147
","145
"
"122
","149
","134
"
"121
","148
","142
"
"122
","148
","140
"
"121
","157
","141
"
"122
","148
","140
"
"129
","148
","141
"
"121
","147
","143
"
"124
","148
","141
"
"120
","149
","141
"
"123
","148
","141
"
"122
","147
","141
"
"122
","149
","141
"
"121
","148
","141
"
"122
","148
","142
"
"122
","149
","141
"
"122
","149
","139
"
