sensor_0,sensor_1,sensor_2
"121
","100
","128
"
"122
","102
","124
"
"119
","101
","129
"
"122
","102
","126
"
"121
","102
","123
"
"117
","102
","126
"
"120
","102
","129
"
"120
","102
","125
"
"120
","104
","125
"
"120
","102
","126
"
"123
","99
","126
"
"121
","101
","126
"
"121
","104
","126
"
"121
","104
","126
"
"121
","91
","128
"
"120
","101
","128
"
"122
","105
","126
"
"122
","102
","128
"
"118
","102
","128
"
"121
","101
","126
"
"120
","102
","128
"
"121
","102
","128
"
"122
","102
","126
"
"121
","98
","128
"
"122
","101
","128
"
"120
","130
","126
"
"122
","101
","126
"
"120
","102
","126
"
"121
","102
","128
"
"120
","102
","125
"
"120
","102
","128
"
"118
","101
","128
"
"120
","104
","126
"
"120
","101
","126
"
"76
","103
","126
"
"122
","102
","126
"
"123
","102
","128
"
"120
","102
","126
"
"121
","102
","131
"
"121
","102
","126
"
"121
","102
","128
"
"120
","102
","128
"
"120
","104
","128
"
"121
","102
","128
"
"118
","103
","126
"
"121
","101
","131
"
"121
","102
","125
"
"122
","102
","126
"
"121
","101
","125
"
"123
","101
","126
"
"118
","102
","128
"
"120
","104
","125
"
"122
","102
","124
"
"118
","104
","130
"
"122
","101
","125
"
"120
","101
","125
"
"121
","102
","128
"
"120
","102
","128
"
"122
","103
","126
"
"122
","102
","123
"
"120
","101
","122
"
"120
","101
","124
"
"122
","101
","126
"
"121
","104
","124
"
"120
","101
","128
"
"121
","101
","126
"
"121
","102
","128
"
"118
","102
","128
"
"121
","101
","125
"
"121
","102
","126
"
"120
","101
","128
"
"123
","102
","128
"
"121
","100
","126
"
"130
","100
","126
"
"120
","101
","138
"
"120
","101
","127
"
"115
","102
","127
"
"121
","102
","126
"
"121
","102
","129
"
"120
","102
","126
"
"115
","102
","128
"
"121
","102
","125
"
"109
","106
","126
"
"117
","101
","122
"
"121
","101
","126
"
"121
","100
","120
"
"121
","102
","126
"
"121
","102
","128
"
"122
","102
","125
"
"118
","100
","129
"
"121
","102
","125
"
"121
","105
","126
"
"121
","101
","128
"
"121
","102
","125
"
"120
","102
","126
"
"121
","108
","126
"
"122
","102
","125
"
"121
","104
","125
"
"122
","99
","125
"
"122
","101
","126
"
"118
","100
","129
"
"120
","102
","126
"
"121
","100
","126
"
"118
","101
","126
"
"120
","101
","125
"
"121
","102
","124
"
"120
","101
","126
"
"121
","102
","129
"
"121
","101
","126
"
"121
","101
","126
"
"122
","102
","129
"
"122
","101
","125
"
"120
","103
","128
"
"121
","101
","126
"
"121
","102
","128
"
"121
","102
","125
"
"121
","101
","126
"
"120
","105
","124
"
"120
","101
","126
"
"120
","101
","124
"
"118
","101
","128
"
"121
","104
","128
"
"120
","102
","128
"
"122
","104
","126
"
"120
","101
","126
"
"122
","101
","128
"
"120
","107
","126
"
"120
","102
","130
"
"121
","102
","128
"
"121
","102
","125
"
"121
","120
","128
"
"118
","102
","126
"
"120
","102
","126
"
"121
","101
","125
"
"123
","102
","128
"
"121
","98
","128
"
"121
","102
","123
"
"120
","102
","125
"
"121
","102
","125
"
"123
","100
","128
"
"118
","101
","126
"
"121
","104
","128
"
"120
","102
","128
"
"122
","102
","125
"
"121
","101
","126
"
"118
","101
","128
"
"120
","104
","126
"
"121
","101
","113
"
"120
","102
","125
"
"121
","101
","125
"
"121
","103
","127
"
"120
","99
","128
"
"121
","102
","128
"
"122
","101
","124
"
"121
","101
","126
"
"121
","102
","126
"
"120
","99
","128
"
"120
","103
","126
"
"121
","104
","126
"
"122
","102
","126
"
"121
","102
","131
"
"121
","104
","125
"
"117
","100
","126
"
"122
","99
","128
"
"121
","102
","129
"
"121
","102
","126
"
"118
","99
","125
"
"83
","101
","142
"
"120
","102
","125
"
"122
","101
","124
"
"120
","101
","128
"
"120
","101
","125
"
"121
","105
","127
"
"120
","102
","129
"
"121
","101
","132
"
"122
","104
","126
"
"117
","100
","118
"
"120
","101
","136
"
"120
","101
","124
"
"121
","101
","126
"
"120
","100
","126
"
"121
","103
","126
"
"121
","102
","129
"
"121
","101
","126
"
"120
","104
","129
"
"121
","102
","128
"
"121
","104
","125
"
"120
","100
","128
"
"122
","102
","126
"
"122
","101
","126
"
"121
","101
","126
"
"118
","102
","129
"
"120
","101
","125
"
"120
","102
","125
"
"120
","101
","128
"
"131
","102
","126
"
"122
","101
","126
"
"121
","107
","126
"
"122
","101
","126
"
"121
","101
","130
"
"123
","101
","126
"
"121
","101
","125
"
"123
","102
","125
"
"121
","102
","130
"
"120
","102
","126
"
"115
","98
","126
"
"120
","101
","125
"
"121
","101
","125
"
"120
","100
","126
"
"121
","104
","123
"
"122
","101
","127
"
"121
","101
","129
"
"100
","102
","126
"
"121
","101
","126
"
"120
","101
","125
"
"118
","100
","124
"
"126
","102
","126
"
"121
","102
","126
"
"120
","101
","126
"
