sensor_0,sensor_1,sensor_2
120,104,123
117,102,122
121,104,122
123,105,121
121,102,122
120,102,122
121,102,120
120,102,131
117,102,124
121,102,122
120,103,126
121,118,122
122,104,121
121,101,122
120,104,122
120,103,123
121,105,120
118,103,122
122,100,121
120,105,124
124,103,122
120,102,122
121,102,122
121,104,122
138,103,122
120,101,120
116,102,119
126,104,122
125,102,122
121,105,122
117,102,123
121,106,123
120,102,110
122,100,123
120,100,122
121,102,121
114,102,120
120,107,122
118,101,122
121,101,121
115,102,122
121,105,121
120,102,123
121,102,122
120,106,122
121,102,122
120,102,123
123,101,121
120,104,125
121,104,122
120,103,122
119,102,122
121,104,123
122,102,123
121,103,122
121,100,122
120,101,121
122,92,122
120,102,122
120,105,122
119,102,122
121,105,122
121,100,125
121,102,122
119,105,118
121,101,117
123,102,121
120,102,122
120,100,121
121,104,168
119,110,122
121,101,123
121,106,123
150,102,122
121,102,121
122,104,123
120,104,123
124,104,121
120,102,121
121,103,122
121,102,124
120,104,121
121,102,123
118,102,125
104,105,122
121,101,122
121,101,122
120,101,134
121,102,121
117,101,122
121,102,122
121,103,124
121,102,122
120,100,122
120,102,122
122,101,117
121,163,123
121,102,122
121,101,124
121,104,122
116,105,123
123,103,121
121,102,120
118,102,122
118,104,123
122,100,118
121,102,130
120,102,122
120,102,122
120,104,123
120,104,123
120,102,123
129,102,122
121,102,123
123,102,121
119,102,120
121,104,122
118,102,115
122,103,122
120,103,122
117,102,124
117,101,123
121,106,124
120,102,122
118,102,121
121,102,121
121,101,120
121,102,125
121,99,122
120,102,122
123,102,123
120,105,123
121,104,123
121,103,121
120,104,122
118,102,123
120,102,123
122,104,122
120,102,122
118,102,123
121,102,122
120,102,123
121,106,124
118,102,122
121,103,123
122,102,132
121,102,124
122,102,121
117,102,123
124,102,122
117,105,122
120,101,122
121,100,121
121,101,122
121,109,124
123,104,121
120,101,124
122,102,122
120,102,123
121,101,122
121,101,123
122,102,121
120,102,121
126,102,122
116,101,122
121,101,120
121,102,123
121,102,123
120,102,122
123,104,130
120,102,122
120,99,123
121,101,122
121,103,123
122,105,122
120,102,122
118,102,122
120,119,122
114,102,120
119,101,123
120,102,122
121,94,122
121,102,122
125,102,122
120,100,123
124,104,120
122,96,121
120,104,124
120,104,124
118,102,122
120,102,120
121,102,122
120,107,117
120,101,121
120,103,120
122,102,122
120,102,122
118,100,123
120,102,122
120,102,123
118,102,139
123,101,123
120,102,123
121,103,122
118,102,122
120,102,122
121,101,121
121,102,122
122,104,123
122,102,117
124,103,124
121,102,123
121,103,122
121,102,122
121,102,122
119,101,122
118,91,120
122,102,128
121,102,122
120,103,122
120,102,121
116,102,122
120,107,122
121,103,122
120,104,122
120,113,122
121,101,124
121,100,122
121,102,126
117,102,120
122,102,121
126,102,121
121,102,121
124,105,121
118,102,122
121,102,120
121,102,121
122,100,121
120,107,122
121,102,122
121,105,117
121,101,122
121,97,122
120,104,122
113,99,122
123,106,121
119,101,123
120,103,114
118,102,122
121,102,120
112,102,125
120,102,124
126,102,122
117,101,121
120,98,123
121,101,120
124,102,122
122,101,122
120,101,122
121,100,121
121,101,123
120,101,122
116,107,121
120,101,123
120,100,122
121,102,121
121,106,122
122,103,121
121,101,121
122,100,122
121,102,122
122,102,118
121,102,123
120,93,153
