sensor_0,sensor_1,sensor_2
"122
","102
","122
"
"122
","102
","122
"
"118
","103
","122
"
"121
","104
","123
"
"120
","102
","122
"
"128
","104
","123
"
"121
","103
","123
"
"121
","104
","123
"
"121
","101
","124
"
"121
","103
","123
"
"120
","102
","120
"
"121
","101
","124
"
"118
","103
","123
"
"122
","102
","123
"
"120
","101
","123
"
"121
","105
","123
"
"122
","101
","123
"
"121
","67
","121
"
"122
","100
","124
"
"120
","102
","122
"
"122
","103
","123
"
"121
","102
","123
"
"124
","99
","123
"
"119
","102
","123
"
"120
","104
","122
"
"121
","103
","123
"
"109
","99
","123
"
"121
","101
","124
"
"121
","102
","123
"
"120
","102
","123
"
"124
","102
","123
"
"120
","104
","123
"
"121
","104
","122
"
"120
","106
","120
"
"122
","104
","123
"
"117
","105
","122
"
"121
","102
","123
"
"120
","105
","122
"
"122
","102
","123
"
"121
","104
","128
"
"121
","104
","122
"
"122
","102
","122
"
"121
","103
","124
"
"131
","104
","123
"
"121
","102
","122
"
"120
","102
","122
"
"121
","102
","125
"
"122
","101
","123
"
"117
","101
","121
"
"121
","105
","122
"
"120
","104
","112
"
"125
","102
","123
"
"122
","102
","122
"
"120
","102
","122
"
"121
","101
","122
"
"123
","104
","121
"
"122
","102
","123
"
"121
","102
","122
"
"122
","103
","122
"
"121
","102
","123
"
"120
","101
","120
"
"120
","103
","123
"
"121
","102
","124
"
"122
","104
","118
"
"123
","105
","122
"
"121
","102
","122
"
"122
","104
","123
"
"120
","103
","122
"
"121
","102
","122
"
"120
","100
","124
"
"122
","104
","123
"
"121
","102
","123
"
"121
","105
","121
"
"115
","101
","122
"
"121
","104
","122
"
"120
","104
","123
"
"122
","105
","108
"
"120
","104
","123
"
"121
","104
","123
"
"121
","102
","124
"
"110
","97
","123
"
"121
","102
","122
"
"125
","102
","122
"
"117
","100
","120
"
"121
","104
","122
"
"121
","101
","122
"
"120
","102
","123
"
"118
","104
","122
"
"120
","103
","123
"
"117
","103
","112
"
"120
","104
","123
"
"121
","98
","122
"
"120
","113
","124
"
"122
","100
","122
"
"118
","102
","124
"
"121
","100
","122
"
"121
","104
","123
"
"120
","100
","122
"
"122
","107
","123
"
"121
","104
","123
"
"123
","107
","122
"
"125
","102
","123
"
"121
","102
","122
"
"124
","103
","123
"
"122
","102
","118
"
"123
","104
","124
"
"120
","104
","125
"
"118
","108
","123
"
"121
","102
","123
"
"121
","104
","123
"
"123
","103
","122
"
"122
","104
","123
"
"120
","104
","123
"
"123
","102
","123
"
"118
","114
","124
"
"121
","102
","122
"
"121
","102
","122
"
"121
","102
","123
"
"122
","101
","123
"
"120
","104
","124
"
"122
","100
","123
"
"121
","101
","122
"
"124
","102
","124
"
"122
","103
","122
"
"121
","104
","122
"
"120
","103
","120
"
"110
","101
","124
"
"107
","101
","123
"
"120
","102
","124
"
"120
","102
","122
"
"121
","103
","122
"
"121
","104
","122
"
"121
","102
","124
"
"120
","102
","123
"
"121
","102
","120
"
"121
","102
","119
"
"120
","102
","123
"
"121
","102
","122
"
"121
","104
","122
"
"119
","103
","123
"
"122
","102
","121
"
"120
","103
","122
"
"121
","102
","123
"
"122
","104
","123
"
"121
","102
","121
"
"122
","102
","117
"
"120
","101
","121
"
"121
","103
","122
"
"121
","112
","121
"
"121
","104
","122
"
"120
","103
","123
"
"121
","105
","130
"
"122
","99
","123
"
"121
","101
","123
"
"121
","106
","123
"
"109
","104
","123
"
"119
","100
","120
"
"122
","104
","122
"
"121
","102
","122
"
"123
","101
","117
"
"121
","102
","116
"
"122
","104
","123
"
"122
","102
","122
"
"120
","104
","122
"
"118
","103
","123
"
"125
","100
","129
"
"119
","104
","123
"
"122
","104
","122
"
"122
","101
","122
"
"121
","103
","122
"
"122
","102
","122
"
"122
","104
","122
"
"122
","100
","123
"
"121
","104
","123
"
"121
","104
","124
"
"121
","101
","125
"
"121
","96
","122
"
"121
","104
","121
"
"122
","101
","123
"
"120
","101
","120
"
"121
","104
","123
"
"121
","103
","124
"
"122
","101
","120
"
"120
","105
","121
"
"120
","104
","123
"
"121
","101
","122
"
"121
","105
","121
"
"121
","106
","123
"
"121
","102
","122
"
"121
","104
","122
"
"121
","101
","123
"
"121
","102
","123
"
"121
","102
","124
"
"121
","102
","123
"
"123
","104
","123
"
"120
","104
","122
"
"120
","102
","123
"
"120
","104
","124
"
"128
","101
","122
"
"120
","101
","122
"
"118
","105
","123
"
"119
","104
","123
"
"121
","104
","124
"
"115
","101
","122
"
"121
","101
","122
"
"121
","104
","122
"
"121
","102
","122
"
"121
","104
","128
"
"121
","111
","124
"
"121
","103
","123
"
"121
","101
","123
"
"121
","105
","122
"
"124
","101
","122
"
"121
","101
","122
"
"120
","100
","122
"
"120
","114
","118
"
"120
","103
","123
"
"120
","105
","123
"
"124
","104
","123
"
"121
","103
","122
"
"121
","104
","122
"
"123
","106
","126
"
"120
","102
","124
"
"125
","101
","129
"
"120
","106
","118
"
"122
","101
","125
"
"118
","101
","123
"
"134
","102
","123
"
"121
","102
","121
"
"120
","103
","122
"
"121
","104
","122
"
"119
","102
","122
"
"121
","104
","123
"
"117
","101
","124
"
"122
","102
","122
"
"121
","102
","122
"
"121
","104
","157
"
"118
","101
","124
"
"121
","102
","123
"
"121
","104
","123
"
"109
","102
","128
"
"121
","102
","123
"
"120
","101
","123
"
"120
","104
","123
"
"120
","101
","123
"
"121
","103
","123
"
"123
","101
","122
"
"121
","105
","122
"
"121
","102
","122
"
"123
","101
","124
"
"120
","101
","125
"
"121
","104
","125
"
"118
","102
","123
"
"122
","102
","123
"
"121
","102
","123
"
"121
","102
","141
"
"120
","102
","130
"
"122
","102
","124
"
"122
","103
","125
"
"122
","101
","124
"
"125
","102
","125
"
"121
","102
","126
"
"122
","101
","125
"
"121
","102
","120
"
"120
","103
","129
"
"120
","102
","128
"
"120
","102
","126
"
"121
","89
","125
"
"122
","104
","128
"
"123
","105
","125
"
"121
","102
","125
"
"128
","102
","125
"
"120
","83
","128
"
"122
","101
","125
"
"121
","101
","122
"
"120
","102
","125
"
"119
","102
","126
"
"121
","102
","126
"
"119
","104
","139
"
"122
","101
","125
"
"122
","102
","133
"
"121
","101
","129
"
"120
","101
","125
"
"121
","94
","127
"
"120
","107
","126
"
"121
","101
","125
"
"121
","108
","129
"
"120
","103
","126
"
"121
","102
","126
"
"117
","102
","125
"
"118
","104
","127
"
"121
","104
","126
"
"120
","102
","125
"
"120
","105
","130
"
"125
","102
","126
"
"121
","102
","143
"
"121
","104
","125
"
"122
","104
","125
"
"120
","102
","125
"
"118
","115
","123
"
"120
","104
","125
"
"119
","102
","126
"
"120
","104
","126
"
"122
","102
","126
"
"122
","101
","113
"
"121
","99
","126
"
"121
","102
","128
"
"122
","103
","125
"
"121
","101
","129
"
"123
","107
","125
"
"120
","102
","129
"
"121
","101
","126
"
"122
","102
","126
"
"122
","103
","126
"
"121
","103
","128
"
"120
","102
","129
"
"122
","101
","126
"
"121
","102
","126
"
"121
","102
","125
"
"119
","102
","129
"
"121
","110
","131
"
"117
","104
","124
"
"122
","100
","124
"
"122
","103
","125
"
"122
","102
","126
"
"121
","102
","126
"
"120
","100
","140
"
"119
","104
","126
"
"121
","104
","126
"
"121
","103
","125
"
"122
","102
","126
"
"121
","102
","125
"
"122
","101
","171
"
"120
","101
","128
"
"120
","104
","126
"
"122
","103
","125
"
"118
","102
","128
"
"120
","101
","126
"
"121
","102
","128
"
"120
","105
","125
"
"117
","102
","126
"
"121
","101
","127
"
"121
","105
","126
"
"120
","102
","125
"
"121
","104
","125
"
"121
","105
","125
"
"122
","101
","126
"
"121
","102
","124
"
"121
","113
","125
"
"121
","106
","123
"
"121
","103
","125
"
"120
","102
","128
"
"121
","102
","126
"
"121
","102
","128
"
"120
","90
","125
"
"121
","103
","126
"
"118
","102
","124
"
"120
","102
","126
"
"122
","104
","125
"
"122
","105
","125
"
"122
","101
","125
"
"120
","102
","137
"
"121
","103
","126
"
"122
","102
","125
"
"121
","100
","126
"
"122
","102
","126
"
"121
","101
","133
"
"120
","104
","125
"
"119
","102
","124
"
"122
","102
","126
"
"122
","100
","131
"
"121
","104
","125
"
"121
","102
","126
"
"122
","102
","127
"
"76
","105
","128
"
"118
","101
","128
"
"120
","103
","126
"
"121
","108
","128
"
"123
","115
","128
"
"122
","102
","124
"
"122
","102
","126
"
"118
","104
","125
"
"118
","102
","126
"
"115
","102
","128
"
"119
","102
","126
"
"121
","101
","124
"
"121
","93
","126
"
"121
","101
","128
"
"122
","104
","129
"
"121
","101
","130
"
"120
","102
","125
"
"120
","102
","126
"
"120
","102
","126
"
"121
","106
","126
"
"120
","102
","126
"
"121
","103
","125
"
"120
","101
","126
"
"122
","97
","126
"
"121
","102
","126
"
"120
","104
","124
"
"121
","101
","125
"
"120
","102
","131
"
"121
","102
","122
"
"121
","100
","128
"
"118
","106
","125
"
"120
","102
","126
"
"121
","105
","125
"
"121
","102
","117
"
"120
","104
","126
"
"116
","100
","124
"
"121
","102
","125
"
"113
","102
","126
"
"122
","105
","126
"
"122
","102
","125
"
"121
","101
","139
"
"121
","101
","125
"
"122
","102
","128
"
"120
","102
","125
"
"121
","100
","131
"
"121
","101
","128
"
"118
","102
","126
"
"122
","102
","126
"
"120
","100
","125
"
"121
","102
","125
"
"120
","101
","128
"
"121
","101
","125
"
"122
","115
","124
"
"120
","101
","125
"
"120
","102
","126
"
"121
","102
","125
"
"123
","103
","126
"
"122
","102
","122
"
"121
","104
","128
"
"121
","102
","122
"
"121
","102
","126
"
"122
","101
","126
"
"121
","102
","131
"
"122
","101
","132
"
"121
","102
","126
"
"121
","102
","124
"
"122
","101
","126
"
"121
","101
","128
"
"124
","100
","128
"
